Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
8584.766,270.39136,401.49078,335.94107,402.824
8708.526,272.1478,401.4166,336.7822,402.71854
8827.795,273.9092,401.33316,337.6212,402.60632
8943.388,275.67047,401.21722,338.44385,402.46445
9055.854,277.42572,401.05353,339.23962,402.27795
9165.667,279.16843,400.83072,339.99957,402.03595
9273.092,280.89386,400.54346,340.71866,401.73306
9378.406,282.59717,400.18832,341.39276,401.36566
9481.787,284.27457,399.7648,342.01968,400.93356
9583.331,285.92374,399.27527,342.5995,400.43875
9683.183,287.54218,398.72125,343.1317,399.88245
9781.122,289.11368,398.11337,343.61353,399.27493
9877.322,290.63937,397.45215,344.04578,398.61627
9971.852,292.1196,396.7403,344.42993,397.90927
10064.714,293.55417,395.9828,344.7685,397.15854
10156.013,294.94406,395.18182,345.06293,396.3665
10245.716,296.28897,394.34274,345.31586,395.53806
10333.904,297.5899,393.46796,345.52893,394.6757
10420.589,298.84714,392.5612,345.70416,393.78317
10505.727,300.06015,391.62732,345.84375,392.86493
10589.391,301.2301,390.66824,345.94916,391.9231
10673.65,302.35745,389.68832,346.0229,390.96088
10756.197,303.44293,388.68967,346.06628,389.98135
10837.172,304.4863,387.67453,346.0804,388.98672
10916.67,305.4876,386.64536,346.06647,387.97934
10994.76,306.447,385.60452,346.02576,386.96158
11071.492,307.36456,384.5544,345.95947,385.93558
11146.907,308.24072,383.4972,345.86896,384.90353
11221.037,309.0758,382.43515,345.7555,383.86746
11293.91,309.8703,381.37015,345.62024,382.82925
11365.554,310.62476,380.30414,345.46445,381.79068
11435.99,311.33975,379.23892,345.28934,380.7533
11505.239,312.01608,378.17584,345.09595,379.71863
11573.332,312.65442,377.11646,344.88544,378.688
11640.282,313.25555,376.06198,344.65875,377.66257
11706.12,313.82028,375.0136,344.41693,376.64352
11770.862,314.3494,373.9726,344.161,375.63187
11834.533,314.84372,372.93982,343.89178,374.62854
11897.168,315.30405,371.9162,343.6101,373.63443
11958.778,315.73123,370.90268,343.31696,372.6503
12019.3955,316.12622,369.89984,343.01303,371.6768
12079.042,316.48972,368.9085,342.6991,370.71463
12137.7295,316.82288,367.92917,342.37604,369.76416
12195.483,317.1265,366.96243,342.04446,368.8261
12252.339,317.40134,366.00873,341.70502,367.90076
12308.314,317.64844,365.06842,341.35843,366.9885
12363.442,317.8687,364.14203,341.00537,366.08963
12417.746,318.06302,363.2296,340.6463,365.20444
12471.25,318.23218,362.33157,340.28186,364.33316
12523.979,318.3772,361.44803,339.9126,363.4759
12575.952,318.49884,360.57916,339.539,362.63272
12627.199,318.59808,359.7251,339.1616,361.8039
12677.74,318.67572,358.8859,338.78082,360.98938
12727.597,318.73273,358.0616,338.39716,360.1892
12776.791,318.7698,357.2522,338.011,359.40338
12825.345,318.7878,356.4578,337.6228,358.6319
12873.282,318.78775,355.67822,337.23297,357.8747
12920.618,318.7701,354.9135,336.8418,357.13177
12967.377,318.73596,354.16354,336.44977,356.403
13013.575,318.68585,353.42828,336.05707,355.6883
13059.234,318.6207,352.70752,335.66412,354.98755
13104.367,318.5411,352.00128,335.27118,354.30063
13148.998,318.44785,351.3093,334.87857,353.62747
13193.143,318.34164,350.63156,334.4866,352.96786
13236.813,318.22314,349.9678,334.09546,352.32175
13280.028,318.09302,349.31796,333.7055,351.68884
13322.799,317.95193,348.68176,333.31683,351.06912
13365.148,317.8005,348.05923,332.92987,350.4624
13407.086,317.6393,347.44998,332.54465,349.86847
13448.623,317.46902,346.85397,332.1615,349.28717
13489.771,317.2901,346.27097,331.78052,348.71832
13530.55,317.10318,345.70084,331.402,348.1619
13570.966,316.90878,345.1434,331.0261,347.61758
13611.031,316.70746,344.59854,330.653,347.08533
13650.753,316.49963,344.06592,330.28278,346.56476
13690.143,316.28586,343.5455,329.91568,346.05594
13729.217,316.06662,343.0371,329.55188,345.55865
13767.975,315.84232,342.54037,329.19135,345.07266
13806.431,315.6134,342.05545,328.8344,344.5979
13844.588,315.38034,341.5819,328.48114,344.13412
13882.46,315.14352,341.11975,328.13165,343.68124
13920.047,314.90326,340.66873,327.786,343.23914
13957.365,314.6601,340.2286,327.44434,342.80756
13994.409,314.41425,339.79944,327.10684,342.38644
14031.195,314.16617,339.3809,326.77353,341.97562
14067.724,313.9162,338.973,326.44458,341.57495
14103.995,313.66455,338.57538,326.11996,341.18436
14140.025,313.4116,338.18805,325.7998,340.80362
14175.809,313.15768,337.81082,325.48425,340.43265
14211.356,312.903,337.44357,325.17328,340.0713
14246.668,312.64804,337.0862,324.86713,339.71948
14281.745,312.3928,336.73853,324.56567,339.37708
14316.596,312.13773,336.4004,324.26904,339.0439
14351.217,311.8829,336.07178,323.97736,338.71997
14385.618,311.6287,335.75247,323.69058,338.40512
14419.795,311.3753,335.44238,323.40884,338.09912
14453.753,311.12286,335.14148,323.13217,337.802
14487.495,310.87173,334.8495,322.8606,337.5136
14521.023,310.62198,334.56638,322.59418,337.23392
14554.333,310.37375,334.29208,322.33292,336.9627
