Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
4317.746,141.02867,328.20624,234.61746,331.32193
4461.284,143.88766,336.31503,240.10135,339.45834
4609.287,146.97005,344.22388,245.59695,347.39127
4760.0693,150.22995,351.95166,251.0908,355.12637
4912.466,153.6293,359.50613,256.56772,362.6697
5065.6445,157.14046,366.883,262.01172,370.01965
5219.0166,160.74348,374.07144,267.40747,377.16937
5372.1885,164.41869,381.06076,272.73972,384.11142
5524.8687,168.15318,387.83655,277.99487,390.83426
5676.873,171.93306,394.38632,283.1597,397.3271
5828.053,175.74782,400.69727,288.22253,403.57816
5978.308,179.58997,406.75772,293.17383,409.57648
6127.577,183.44981,412.55853,298.00418,415.3133
6275.8037,187.32198,418.09125,302.7066,420.78012
6422.96,191.19867,423.34943,307.27405,425.97058
6569.0176,195.07468,428.32727,311.701,430.87875
6713.935,198.94638,433.02148,315.98395,435.50146
6857.7036,202.80782,437.42957,320.11868,439.83633
7000.302,206.65594,441.5512,324.10358,443.8831
7141.721,210.48598,445.38635,327.93616,447.64185
7281.951,214.29428,448.9366,331.61545,451.11444
7420.5054,218.03526,452.2919,335.16357,454.39066
7558.049,221.75858,455.36154,338.56006,457.3798
7694.4873,225.45782,458.15634,341.80707,460.09335
7829.764,229.1279,460.68536,344.90662,462.5408
7963.831,232.7646,462.957,347.8608,464.731
8096.657,236.36446,464.97882,350.67163,466.67188
8228.218,239.92442,466.75867,353.34155,468.37186
8358.494,243.44183,468.30447,355.87317,469.83893
8487.47,246.91432,469.62424,358.2693,471.0815
8615.128,250.33974,470.72653,360.53314,472.10834
8741.453,253.71608,471.61984,362.66797,472.92822
8866.429,257.04153,472.31302,364.67728,473.55026
8990.039,260.31445,472.81497,366.5647,473.9837
9112.266,263.5332,473.1349,368.33405,474.2378
9233.088,266.6962,473.28183,369.989,474.3218
9352.489,269.80212,473.26505,371.53357,474.2453
9470.447,272.84958,473.0935,372.97156,474.01736
9586.942,275.83734,472.77658,374.30695,473.64746
9701.952,278.76416,472.32297,375.54358,473.14468
9815.452,281.62903,471.7418,376.68542,472.51788
9927.422,284.4308,471.0417,377.73624,471.77615
10037.845,287.1692,470.23102,378.7001,470.9275
10146.693,289.84305,469.3178,379.58044,469.98056
10253.948,292.45166,468.3107,380.38116,468.94357
10359.584,294.9941,467.21756,381.10583,467.82446
10463.582,297.46985,466.04593,381.75787,466.631
10565.924,299.87836,464.80347,382.3409,465.37054
10666.59,302.21918,463.4971,382.85815,464.0502
10765.563,304.492,462.13385,383.31293,462.67667
10862.832,306.6966,460.72006,383.7083,461.2564
10958.377,308.83292,459.26218,384.04755,459.79562
11052.192,310.9008,457.76617,384.3335,458.30023
11144.265,312.9004,456.23758,384.56897,456.77567
11234.59,314.83185,454.68182,384.75684,455.2272
11323.159,316.6955,453.10388,384.8997,453.65976
11409.972,318.49158,451.50858,385.00006,452.07788
11495.028,320.22058,449.90045,385.06052,450.48587
11578.332,321.88312,448.28354,385.0833,448.88776
11659.882,323.47977,446.66168,385.07074,447.28714
11739.691,325.01123,445.03864,385.02493,445.68762
11817.772,326.4784,443.4175,384.94794,444.0923
11894.128,327.88208,441.80145,384.84177,442.5039
11968.779,329.22324,440.1932,384.70822,440.92517
12041.744,330.5029,438.5955,384.5492,439.35846
12113.039,331.7222,437.01044,384.36633,437.80585
12182.685,332.88217,435.44022,384.1612,436.26926
12250.708,333.98416,433.88663,383.9354,434.75052
12317.133,335.02933,432.3514,383.69037,433.25098
12381.987,336.01907,430.83594,383.4275,431.772
12445.296,336.95453,429.34155,383.14804,430.31476
12507.097,337.83728,427.86926,382.85327,428.88022
12567.411,338.66855,426.4202,382.54437,427.46912
12626.28,339.4499,424.99496,382.2224,426.08218
12683.731,340.1826,423.5943,381.88843,424.71994
12739.804,340.86823,422.2186,381.5434,423.38284
12794.527,341.50827,420.8685,381.1884,422.07114
12847.944,342.10397,419.54416,380.82407,420.78506
12900.086,342.65695,418.2458,380.45135,419.5246
12950.99,343.16867,416.97336,380.071,418.29
13000.692,343.6405,415.72717,379.68384,417.08096
13049.23,344.07388,414.50687,379.29037,415.89758
13096.643,344.4702,413.31247,378.89136,414.73953
13142.961,344.83087,412.1438,378.48734,413.60663
13188.221,345.1574,411.0005,378.07895,412.49854
13232.464,345.451,409.88242,377.6667,411.41504
13275.719,345.71298,408.7891,377.25104,410.3556
13318.027,345.94476,407.7202,376.8325,409.3199
13359.415,346.14752,406.67545,376.4115,408.3076
13399.922,346.32257,405.6543,375.98843,407.3181
13439.579,346.4711,404.6564,375.56375,406.35114
13478.413,346.5943,403.68112,375.1377,405.40607
13516.466,346.6933,402.72812,374.7107,404.4825
13553.76,346.7693,401.79684,374.28308,403.57986
13590.328,346.82324,400.88684,373.85504,402.69766
13626.195,346.85632,399.99753,373.42694,401.83554
13661.392,346.86957,399.12854,372.99905,400.99286
13695.947,346.86386,398.2792,372.57153,400.1691
13729.882,346.8402,397.44922,372.1447,399.36383
13763.226,346.79956,396.63782,371.7187,398.5766
