Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,159.42593,214.98901,174.3528,213.28479
296.9091,160.17041,216.5324,175.31895,214.87846
440.81818,160.98746,218.20265,176.37276,216.60258
584.7273,161.8461,219.9266,177.47197,218.38217
728.63635,162.7243,221.66948,178.59097,220.18132
872.5455,163.60982,223.41959,179.71751,221.98804
1016.4545,164.49788,225.17677,180.8479,223.80185
1160.3636,165.38805,226.94447,181.9827,225.62636
1304.2727,166.28181,228.72615,183.1239,227.46504
1448.1818,167.18079,230.52364,184.27316,229.31976
1592.091,168.08618,232.3372,185.43144,231.19086
1736.0,168.99838,234.16614,186.59888,233.0776
1879.909,169.91734,236.00928,187.7751,234.9788
2023.8182,170.84259,237.86523,188.9594,236.89313
2167.7273,171.77345,239.733,190.15102,238.81949
2311.6365,172.70935,241.6117,191.34926,240.75696
2455.5454,173.64967,243.50064,192.55354,242.70488
2599.4546,174.594,245.39935,193.76337,244.66272
2743.3635,175.54185,247.30714,194.97826,246.62985
2887.2727,176.49284,249.22336,196.19771,248.6055
3031.182,177.44649,251.14717,197.42116,250.58891
3175.0908,178.40628,253.08456,198.65277,252.58617
3319.0,179.36873,255.02972,199.88846,254.59128
3462.9092,180.334,256.98294,201.12836,256.60458
3606.818,181.30194,258.944,202.37234,258.6259
3750.7273,182.27234,260.91245,203.6201,260.65463
3894.6365,183.24483,262.88757,204.8712,262.69016
4038.5454,184.2191,264.86877,206.12523,264.7318
4182.4546,185.1948,266.8553,207.38174,266.7789
4326.364,186.17155,268.84647,208.64026,268.83066
4470.273,187.14903,270.84155,209.90034,270.88632
4614.1816,188.12686,272.8398,211.16158,272.94522
4758.091,189.10468,274.84058,212.42342,275.00647
4902.0,190.08214,276.843,213.68544,277.06937
5045.909,191.05885,278.84628,214.94714,279.13312
5189.8184,192.03445,280.84964,216.20802,281.19678
5333.727,193.00858,282.8522,217.46759,283.25955
5477.636,193.98083,284.8532,218.72533,285.32065
5621.5454,194.95084,286.85175,219.98076,287.3791
5765.4546,195.91827,288.847,221.23337,289.43405
5909.364,196.88272,290.83807,222.48267,291.48465
6053.273,197.84389,292.82422,223.72816,293.53006
6197.1816,198.80138,294.80457,224.96938,295.56943
6341.091,199.75487,296.77832,226.20589,297.60187
6485.0,200.70409,298.74466,227.4372,299.62668
6628.909,201.64867,300.70285,228.66289,301.64294
6772.8184,202.58835,302.6521,229.88254,303.64993
6916.727,203.52284,304.5917,231.09573,305.64688
7060.636,204.45187,306.5209,232.3021,307.6331
7204.5454,205.37518,308.43906,233.50124,309.6078
7348.4546,206.29256,310.3455,234.6928,311.57034
7492.364,207.20375,312.23956,235.87646,313.52008
7636.273,208.10857,314.12067,237.05191,315.45633
7780.1816,209.00679,315.9882,238.21883,317.37857
7924.091,209.89825,317.84164,239.3769,319.28625
8068.0,210.78282,319.68048,240.52592,321.1787
8211.909,211.66028,321.50418,241.66565,323.05554
8355.818,212.53053,323.31232,242.79576,324.91623
8499.728,213.3934,325.10443,243.91615,326.76035
8643.637,214.24886,326.8801,245.0266,328.5874
8787.546,215.09671,328.63898,246.12685,330.3971
8931.454,215.9369,330.38065,247.21681,332.18893
9075.363,216.76938,332.10483,248.2963,333.96268
9219.272,217.59401,333.81116,249.36519,335.71793
9363.182,218.41077,335.49936,250.42334,337.45444
9507.091,219.21956,337.16922,251.47063,339.17188
9651.0,220.02039,338.8204,252.50697,340.87006
9794.909,220.81314,340.45276,253.53224,342.5487
9938.818,221.59782,342.06604,254.5464,344.20758
10082.728,222.3744,343.6601,255.54935,345.84653
10226.637,223.14282,345.2347,256.54102,347.4654
10370.546,223.90309,346.78976,257.5213,349.06396
10514.454,224.65517,348.32507,258.49023,350.64215
10658.363,225.39902,349.8406,259.44775,352.19977
10802.272,226.13467,351.33618,260.39377,353.7368
10946.182,226.86212,352.8117,261.3283,355.25305
11090.091,227.58133,354.26715,262.25128,356.7485
11234.0,228.29228,355.70245,263.16275,358.2231
11377.909,228.995,357.11755,264.06262,359.67676
11521.818,229.68947,358.5124,264.95093,361.10947
11665.728,230.37572,359.88696,265.82764,362.5212
11809.637,231.05373,361.24127,266.6928,363.912
11953.546,231.7235,362.5753,267.5464,365.28174
12097.454,232.38504,363.8891,268.3884,366.63055
12241.363,233.03838,365.18262,269.21887,367.9584
12385.272,233.68352,366.45596,270.0378,369.26538
12529.182,234.32047,367.70917,270.8452,370.55154
12673.091,234.94922,368.94223,271.64117,371.8169
12817.0,235.5698,370.1553,272.42566,373.06152
12960.909,236.18224,371.3484,273.19873,374.28555
13104.818,236.78653,372.5216,273.96042,375.489
13248.728,237.38274,373.67508,274.71075,376.67203
13392.637,237.97081,374.80887,275.4498,377.83475
13536.546,238.55086,375.9231,276.17758,378.97723
13680.454,239.12283,377.01788,276.89417,380.09964
13824.363,239.68677,378.09338,277.5996,381.20215
13968.272,240.24274,379.14966,278.29395,382.28476
14112.182,240.7907,380.18692,278.97726,383.34778
14256.091,241.33073,381.2053,279.64963,384.39136
14400.0,241.86287,382.20493,280.31104,385.41553
