Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
1.0,25.02,104.8,97.875,100.0246
2.0,25.005,100.05,97.933,100.0492
3.8728,25.004,100.24,97.937,100.09527088
6.3953,25.003,100.16,97.874,100.15732438
9.887,25.003,100.24,97.753,100.2432202
14.839,25.002,100.37,97.578,100.3650394
22.075,25.002,100.54,97.347,100.543045
33.113,25.002,100.81,97.046,100.8145798
49.684,25.001,101.22,96.672,101.2222264
73.134,25.001,102.95,96.329,102.9465428
103.13,25.001,105.33,96.027,105.326242
133.13,25.001,109.03,95.917,109.028242
163.13,25.001,113.38,95.94,113.378864
193.13,25.001,118.56,96.099,118.562864
223.13,25.001,124.89,96.415,124.889486
253.13,25.001,131.71,96.837,131.71010800000002
283.13,25.0,139.86,97.426,139.85810800000002
313.13,25.0,148.66,98.134,148.65473
343.13,25.0,158.29,98.97,158.28473
373.13,25.0,169.06,99.96,169.057352
401.51,25.0,179.64,100.99,179.64389799999998
428.83,25.0,191.11,102.13,191.112834
453.1,25.0,201.45,103.2,201.45452
477.01,25.0,212.67,104.38,212.673092
498.73,25.0,222.86,105.49,222.864116
520.45,25.0,234.06,106.71,234.06128000000004
540.21,25.0,244.31,107.85,244.304864
559.87,25.0,254.99,109.06,254.98616
578.62,25.0,265.64,110.27,265.63616
596.56,25.0,275.83,111.46,275.82607999999993
614.5,25.0,286.73,112.72,286.7294
631.27,25.0,297.08,113.94,297.079844
647.78,25.0,307.27,115.16,307.269816
664.29,25.0,318.17,116.45,318.168572
679.72,25.0,328.46,117.69,328.45729600000004
695.0,25.0,338.65,118.93,338.646
710.29,25.0,349.34,120.23,349.34764
724.84,25.0,359.77,121.5,359.76544
739.08,25.0,369.96,122.76,369.96128
753.31,25.0,380.31,124.05,380.3134739999999
767.31,25.0,391.03,125.37,391.0290739999999
780.63,25.0,401.22,126.64,401.224202
793.94,25.0,411.41,127.92,411.41167600000006
807.25,25.0,422.14,129.26,422.13565
819.9,25.0,432.75,130.57,432.75406
832.04,25.0,442.94,131.85,442.944376
844.18,25.0,453.13,133.14,453.134692
856.32,25.0,463.32,134.44,463.326272
868.46,25.0,473.51,135.75,473.519016
880.59,25.0,483.7,137.07,483.703364
892.73,25.0,493.89,138.4,493.896108
904.86,25.0,495.8,139.17,495.799988
917.0,25.0,485.31,138.98,485.3086
925.08,25.0,478.32,138.71,478.325864
933.16,25.0,471.34,138.37,471.343128
944.95,25.0,461.15,137.81,461.15421
956.74,25.0,451.3,137.2,451.298248
968.53,25.0,441.88,136.58,441.69175600000005
981.04,25.0,431.96,135.88,431.4986080000001
993.55,25.0,422.03,135.15,421.30546
1006.1,25.0,412.3,134.4,411.38106
1018.9,25.0,402.56,133.63,401.58394
1032.2,25.0,392.56,132.81,391.40412
1045.6,25.0,382.57,131.96,381.14776000000006
1058.9,25.0,372.9,131.12,371.4075999999999
1072.8,25.0,363.04,130.24,361.4552000000001
1087.0,25.0,353.02,129.31,351.288
1101.2,25.0,343.18,128.38,341.17984
1115.6,25.0,333.73,127.45,331.57792000000006
1130.8,25.0,323.78,126.46,321.44256
1146.1,25.0,313.87,125.45,311.24052000000006
1161.4,25.0,304.35,124.45,301.6039199999999
1176.7,25.0,295.07,123.46,292.1607599999999
1193.2,25.0,285.12,122.38,281.97696
1209.7,25.0,275.52,121.31,272.27039999999994
1227.0,25.0,265.79,120.2,262.444
1245.0,25.0,257.6,119.05,252.22
1262.9,25.0,250.11,117.92,242.69263999999995
1282.0,25.0,242.3,116.73,232.7912
1301.7,25.0,234.39,115.5,222.66236
1321.5,25.0,227.03,114.32,213.3722
1343.1,25.0,220.58,113.03,203.23748000000003
1364.8,25.0,214.21,111.77,193.78696
1388.1,25.0,207.51,110.44,184.00562
1412.4,25.0,201.03,109.1,174.41703999999996
1438.2,25.0,195.46,107.72,164.86072
1465.6,25.0,189.64,106.32,155.48240000000004
1495.2,25.0,183.52,104.85,145.9808
1525.2,25.0,178.58,103.47,137.59568
1555.2,25.0,173.85,102.14,129.70456
1585.2,25.0,169.27,100.92,123.03856
1615.2,25.0,165.36,99.78,117.12344
1645.2,25.0,161.85,98.717,111.93944
1675.2,25.0,158.44,97.776,108.00032
1705.2,25.0,155.25,96.905,104.55416
1735.2,25.0,152.62,96.158,102.32816
1765.2,25.0,150.09,95.507,100.85608
1782.6,25.0,148.66,95.173,100.42804
1800.0,25.0,147.27,94.856,100.0
