Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,177.71709,247.43738,196.6224,246.74193
296.9091,178.52356,249.13358,197.67552,248.4911
440.81818,179.36374,250.9033,198.77333,250.31602
584.7273,180.22813,252.71332,199.89995,252.1825
728.63635,181.10762,254.54524,201.04373,254.07156
872.5455,181.99611,256.3914,202.1981,255.97533
1016.4545,182.89052,258.24994,203.3602,257.89172
1160.3636,183.78966,260.12112,204.52919,259.821
1304.2727,184.69336,262.00528,205.70505,261.76355
1448.1818,185.60153,263.9022,206.88762,263.71906
1592.091,186.51408,265.8109,208.07657,265.68652
1736.0,187.4306,267.73004,209.27124,267.6646
1879.909,188.35048,269.65805,210.47075,269.65167
2023.8182,189.27306,271.59332,211.67421,271.64612
2167.7273,190.19757,273.53436,212.88063,273.64642
2311.6365,191.1233,275.47992,214.08917,275.6512
2455.5454,192.04962,277.4287,215.29898,277.65927
2599.4546,192.97589,279.3796,216.50931,279.6694
2743.3635,193.90154,281.33154,217.71948,281.6805
2887.2727,194.82605,283.28336,218.92874,283.69135
3031.182,195.74889,285.2339,220.13641,285.7008
3175.0908,196.67305,287.18835,221.3461,287.7142
3319.0,197.59511,289.14038,222.55357,289.72495
3462.9092,198.51494,291.08972,223.75868,291.73288
3606.818,199.4324,293.0358,224.96112,293.73737
3750.7273,200.34715,294.97784,226.16046,295.73755
3894.6365,201.25883,296.91495,227.3562,297.7326
4038.5454,202.16711,298.84628,228.54787,299.72162
4182.4546,203.07169,300.77106,229.735,301.7038
4326.364,203.97221,302.68848,230.91714,303.67828
4470.273,204.86841,304.59778,232.09389,305.64432
4614.1816,205.76,306.4982,233.26485,307.60117
4758.091,206.64671,308.3891,234.42958,309.54807
4902.0,207.52829,310.26974,235.58777,311.48434
5045.909,208.40451,312.13947,236.73906,313.40927
5189.8184,209.27515,313.99765,237.88309,315.3222
5333.727,210.14001,315.84366,239.01953,317.22256
5477.636,210.99886,317.6769,240.1481,319.10965
5621.5454,211.85153,319.49686,241.2685,320.98297
5765.4546,212.69785,321.30295,242.38042,322.8419
5909.364,213.53766,323.0946,243.48364,324.68588
6053.273,214.37077,324.87137,244.57791,326.51447
6197.1816,215.19714,326.63287,245.66302,328.32718
6341.091,216.01659,328.3786,246.73877,330.12357
6485.0,216.82903,330.1082,247.80495,331.9032
6628.909,217.63434,331.82123,248.86137,333.6657
6772.8184,218.43243,333.5174,249.90791,335.41074
6916.727,219.22325,335.19632,250.9444,337.1379
7060.636,220.0067,336.8577,251.97067,338.8469
7204.5454,220.78271,338.50128,252.98663,340.5374
7348.4546,221.55125,340.12674,253.99216,342.2092
7492.364,222.31223,341.73386,254.98712,343.86197
7636.273,223.06564,343.32242,255.97145,345.4955
7780.1816,223.81142,344.89218,256.9451,347.1096
7924.091,224.54955,346.44296,257.9079,348.704
8068.0,225.27995,347.97464,258.8598,350.2786
8211.909,226.00269,349.487,259.80084,351.83322
8355.818,226.71765,350.97995,260.73087,353.3677
8499.728,227.42487,352.4533,261.64984,354.88196
8643.637,228.1243,353.907,262.55777,356.3758
8787.546,228.81595,355.34097,263.45456,357.8492
8931.454,229.4998,356.7551,264.34024,359.30212
9075.363,230.17584,358.14935,265.21475,360.7344
9219.272,230.8441,359.5237,266.0781,362.14606
9363.182,231.50452,360.87805,266.93027,363.53702
9507.091,232.15712,362.2124,267.77127,364.90732
9651.0,232.80194,363.52676,268.60104,366.25693
9794.909,233.43892,364.82114,269.41965,367.58582
9938.818,234.06812,366.09555,270.22708,368.89404
10082.728,234.6895,367.35,271.02335,370.18167
10226.637,235.30309,368.5846,271.80844,371.44867
10370.546,235.90892,369.7993,272.58246,372.6952
10514.454,236.50696,370.99423,273.34534,373.9212
10658.363,237.09723,372.16943,274.0972,375.12686
10802.272,237.67976,373.325,274.83798,376.31223
10946.182,238.25456,374.461,275.5678,377.47736
11090.091,238.82166,375.57767,276.28668,378.6224
11234.0,239.38107,376.6749,276.9946,379.74747
11377.909,239.9328,377.75296,277.6917,380.8527
11521.818,240.47687,378.8119,278.37796,381.93823
11665.728,241.01332,379.8519,279.05347,383.00418
11809.637,241.54216,380.8731,279.71826,384.05072
11953.546,242.06342,381.87564,280.37247,385.078
12097.454,242.57715,382.85968,281.01605,386.08618
12241.363,243.08336,383.82535,281.64917,387.07544
12385.272,243.58206,384.77286,282.27185,388.04596
12529.182,244.07332,385.7024,282.88412,388.9979
12673.091,244.55714,386.61407,283.4861,389.93146
12817.0,245.03358,387.50812,284.0779,390.84683
12960.909,245.5027,388.38467,284.65958,391.74423
13104.818,245.9645,389.24402,285.2312,392.62384
13248.728,246.41904,390.0863,285.79285,393.48587
13392.637,246.86635,390.9117,286.3446,394.33057
13536.546,247.30647,391.72046,286.8866,395.15808
13680.454,247.7395,392.51276,287.41885,395.96866
13824.363,248.16544,393.2888,287.94153,396.7625
13968.272,248.5843,394.04886,288.45468,397.53992
14112.182,248.99623,394.79306,288.95847,398.30106
14256.091,249.40121,395.5217,289.45288,399.0461
14400.0,249.79935,396.23495,289.9381,399.7754
