Time (s),Unnamed: 0,T_min (C),T_max (C),T_ave (C),Thermal_Input_C
191.0,0.0,100.0,107.72,100.51,107.95833333333331
335.98979591836735,1.2999319727891157,100.0,113.68058027210884,101.12595102040817,113.99957482993197
480.9795918367347,2.266530612244898,100.0,119.64982448979592,101.85655102040816,120.04081632653062
625.969387755102,3.23312925170068,100.00233129251701,125.63307006802721,102.70613537414967,126.08205782312925
770.9591836734694,4.199727891156463,100.01199727891156,131.6163156462585,103.66770340136054,132.1232993197279
915.9489795918367,5.166326530612245,100.02498979591836,137.60122448979592,104.73792857142858,138.16454081632654
1060.938775510204,6.132925170068027,100.05797551020407,143.59413605442177,105.90280272108843,144.20578231292518
1205.9285714285716,7.09952380952381,100.1179619047619,149.5870476190476,107.1683380952381,150.24702380952382
1350.9183673469388,8.099183673469389,100.19793469387754,155.57962857142857,108.5172,156.28826530612244
1495.908163265306,9.366054421768707,100.32856870748299,161.569537414966,109.9673843537415,162.32950680272108
1640.8979591836735,10.33265306122449,100.49985714285715,167.56577551020408,111.49222448979592,168.37074829931973
1785.887755102041,11.299251700680273,100.72079795918367,173.56835306122449,113.09770544217687,174.41198979591837
1930.8775510204082,12.265850340136055,100.9977306122449,179.56827210884353,114.79118911564626,180.453231292517
2075.8673469387754,13.232448979591837,101.33297959183673,185.5635081632653,116.55932857142858,186.4944727891156
2220.857142857143,14.19904761904762,101.73355238095239,191.56608571428572,118.40212380952381,192.53571428571425
2365.8469387755104,15.165646258503402,102.20110544217687,197.56866326530613,120.31957482993198,198.5769557823129
2510.8367346938776,16.132244897959183,102.74331428571428,203.57124081632654,122.31168163265306,204.61819727891154
2655.826530612245,17.148265306122447,103.35968469387755,209.57381836734695,124.37646734693877,210.65943877551015
2800.816326530612,18.398775510204082,104.0630693877551,215.57639591836733,126.51724489795919,216.7006802721088
2945.8061224489797,19.365374149659864,104.83056802721089,221.58262721088437,128.7176680272109,222.74192176870744
3090.795918367347,20.331972789115646,105.67873469387756,227.59155102040816,130.98341496598638,228.7831632653061
3235.785714285714,21.298571428571428,106.60155714285715,233.5971142857143,133.31747142857145,234.8244047619047
3380.775510204082,22.265170068027214,107.60168707482994,239.606706122449,135.7182285714286,240.86564625850338
3525.765306122449,23.231768707482995,108.68348707482993,245.6116013605442,138.17259863945577,246.906887755102
3670.7551020408164,24.198367346938777,109.84192653061224,251.6218612244898,140.69765714285714,252.94812925170064
3815.7448979591836,25.247448979591837,111.08022959183674,257.62691326530614,143.27788265306123,258.9893707482993
3960.734693877551,26.464897959183673,112.40085714285715,263.64166530612243,145.92311836734694,265.03061224489795
4105.724489795919,27.43149659863946,113.7886149659864,269.64959387755107,148.61682040816328,271.0718537414966
4250.714285714286,28.39809523809524,115.25500952380953,275.6561523809524,151.37049523809526,277.11309523809524
4395.7040816326535,29.364693877551023,116.79809795918368,281.67204285714286,154.1785530612245,283.1543367346939
4540.693877551021,30.331292517006805,118.41313605442177,287.68732653061227,157.0338775510204,289.19557823129253
4685.683673469388,31.297891156462587,120.10620408163265,293.69288299319726,159.94856802721088,295.23681972789115
4830.673469387755,32.264489795918365,121.86459591836736,299.70512653061223,162.91256326530612,301.2780612244898
4975.663265306122,33.34663265306122,123.6906224489796,305.7219918367347,165.92792857142857,307.31930272108843
5120.65306122449,34.531020408163265,125.60204081632654,311.7429469387755,168.99395510204081,313.36054421768705
5265.642857142857,35.49761904761905,127.57504761904762,317.7551904761905,172.1022857142857,319.40178571428567
5410.632653061224,36.46421768707483,129.61342585034012,323.76743401360545,175.26191836734694,325.4430272108843
5555.622448979592,37.43081632653062,131.71641224489795,329.78398571428573,178.46461836734696,331.48426870748295
5700.6122448979595,38.3974149659864,133.89008027210883,335.8019210884354,181.70723673469388,337.5255102040816
5845.602040816327,39.36401360544218,136.12543197278913,341.81780476190477,185.0022068027211,343.56675170068024
5990.591836734694,40.33061224489796,138.42338775510206,347.83971428571425,188.3405306122449,349.60799319727886
6135.581632653061,41.29721088435374,140.7870829931973,353.8586517006803,191.71618231292516,355.64923469387753
6280.571428571428,42.395714285714284,143.20271428571428,359.8722142857143,195.12784285714287,361.69047619047615
6425.561224489796,43.56374149659864,145.69009047619048,365.8921095238095,198.5894693877551,367.7317176870748
6570.551020408164,44.53034013605443,148.23070476190478,371.91401904761904,202.0904380952381,373.7729591836735
6715.540816326531,45.49693877551021,150.82670408163264,377.9359285714286,205.62376530612246,379.8142006802721
6860.530612244898,46.46353741496599,153.4739986394558,383.9532027210885,209.18972380952383,385.8554421768707
7005.5204081632655,47.43013605442177,156.18158639455783,389.9697476190476,212.80161292517008,391.8966836734694
7150.510204081633,48.396734693877555,158.94259591836735,395.3608489795918,216.41791836734694,397.2601700680272
7295.5,49.36333333333334,161.75183333333334,398.1999666666667,219.88533333333334,400.0
7440.489795918367,50.494897959183675,164.61484693877551,398.28979591836736,223.13382653061225,400.0
7585.4795918367345,51.62986394557823,167.52848775510205,398.3414931972789,226.25556462585033,400.0
7730.469387755102,52.59646258503401,170.48710476190476,398.38385850340137,229.3009632653061,400.0
7875.45918367347,53.5630612244898,173.49238163265306,398.4225224489796,232.271706122449,400.0
8020.448979591837,54.52965986394558,176.5390217687075,398.4558897959184,235.17308979591837,400.0
8165.438775510204,55.496258503401364,179.61802721088435,398.48985034013606,237.9942619047619,400.0
8310.428571428572,56.46285714285715,182.7250285714286,398.5238857142857,240.74525714285716,400.0
8455.41836734694,57.42945578231293,185.85573129251702,398.5528836734694,243.44529795918368,400.0
8600.408163265307,58.59408163265307,188.99915714285717,398.58188163265305,246.09528775510208,400.0
8745.397959183674,59.69598639455783,192.14195578231295,398.61087959183675,248.6882836734694,400.0
8890.387755102041,60.66258503401361,195.28340136054422,398.63325170068026,251.23597278911566,400.0
9035.377551020409,61.62918367346939,198.41855510204084,398.6588755102041,253.73071020408165,400.0
9180.367346938776,62.595782312925174,201.53841904761907,398.6819156462585,256.1754136054422,400.0
9325.357142857143,63.562380952380956,204.62837142857146,398.70687142857145,258.56783333333334,400.0
9470.34693877551,64.52897959183673,207.6915755102041,398.7305795918368,260.9095510204082,400.0
9615.336734693878,65.49557823129251,210.72620408163266,398.74991156462585,263.20956462585036,400.0
9760.326530612245,66.4621768707483,213.72812653061223,398.77386530612245,265.47225034013604,400.0
9905.316326530612,67.64316326530611,216.6956214285714,398.7964316326531,267.69760816326533,400.0
10050.30612244898,68.7287074829932,219.62798367346937,398.81457414965985,269.8868789115646,400.0
10195.295918367347,69.69530612244898,222.52201224489795,398.833906122449,272.03662653061224,400.0
10340.285714285714,70.66190476190476,225.34952380952382,398.8532380952381,274.1330952380952,400.0
10485.275510204081,71.62850340136055,228.12751972789115,398.8725700680272,276.17985714285714,400.0
10630.265306122448,72.59510204081631,230.868187755102,398.8919020408163,278.19781224489793,400.0
10775.255102040817,73.56170068027211,233.57152789115648,398.91123401360545,280.1802523809524,400.0
10920.244897959185,74.52829931972789,236.23754013605443,398.9305659863946,282.13188163265306,400.0
11065.234693877552,75.74234693877551,238.86622448979594,398.94742346938773,284.05247448979594,400.0
11210.224489795919,76.7948299319728,241.45219591836735,398.96589659863946,285.93991836734693,400.0
11355.214285714286,77.76142857142858,244.00255714285714,398.9852285714286,287.7943285714286,400.0
11500.204081632653,78.72802721088436,246.5010299319728,399.00456054421767,289.61141088435375,400.0
11645.19387755102,79.69462585034015,248.93656462585034,399.01694625850337,291.39116530612245,400.0
11790.183673469388,80.66122448979591,251.32661224489794,399.03322448979594,293.1335918367347,400.0
11935.173469387755,81.6278231292517,253.68561020408163,399.052556462585,294.844968707483,400.0
12080.163265306122,82.59442176870748,256.00472380952385,399.06594421768705,296.534293877551,400.0
