Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,204.63507,268.7006,222.14601,268.1611
296.9091,205.03798,269.85898,222.75743,269.36035
440.81818,205.46713,271.0621,223.40051,270.60645
584.7273,205.92224,272.29834,224.0718,271.887
728.63635,206.39658,273.5552,224.76288,273.18893
872.5455,206.88405,274.8269,225.46771,274.50616
1016.4545,207.38116,276.11304,226.18353,275.83813
1160.3636,207.8867,277.4155,226.90994,277.1867
1304.2727,208.40073,278.7365,227.64755,278.55417
1448.1818,208.92377,280.0775,228.39713,279.94193
1592.091,209.4563,281.43896,229.15912,281.3504
1736.0,209.99846,282.82043,229.93358,282.7793
1879.909,210.55006,284.22113,230.72012,284.22775
2023.8182,211.11072,285.64008,231.51822,285.6947
2167.7273,211.67992,287.07623,232.32718,287.17917
2311.6365,212.257,288.52863,233.1463,288.6801
2455.5454,212.84143,289.99643,233.97498,290.19678
2599.4546,213.4327,291.47894,234.81259,291.72833
2743.3635,214.03032,292.97543,235.65865,293.2741
2887.2727,214.63388,294.4852,236.51265,294.8334
3031.182,215.24298,296.00763,237.37407,296.4055
3175.0908,215.85959,297.54706,238.24559,297.99493
3319.0,216.48134,299.09845,239.1241,299.59647
3462.9092,217.10808,300.6616,240.0094,301.21005
3606.818,217.73955,302.2362,240.90125,302.83514
3750.7273,218.3754,303.82162,241.79924,304.47128
3894.6365,219.0153,305.41718,242.70291,306.11774
4038.5454,219.65886,307.02216,243.61179,307.7737
4182.4546,220.30568,308.63583,244.52538,309.43854
4326.364,220.95538,310.25745,245.4432,311.1114
4470.273,221.60757,311.88626,246.36482,312.79153
4614.1816,222.2619,313.5215,247.2897,314.47818
4758.091,222.91798,315.16248,248.2174,316.17062
4902.0,223.57545,316.80835,249.14742,317.86798
5045.909,224.23393,318.4584,250.07928,319.56952
5189.8184,224.89307,320.11176,251.0125,321.2744
5333.727,225.55244,321.7677,251.94655,322.9818
5477.636,226.21169,323.42532,252.88097,324.69086
5621.5454,226.87044,325.08383,253.81522,326.40073
5765.4546,227.52835,326.74237,254.74881,328.11053
5909.364,228.18501,328.4001,255.68127,329.8194
6053.273,228.84009,330.0561,256.61206,331.52646
6197.1816,229.4932,331.70966,257.54074,333.23087
6341.091,230.14403,333.35983,258.4668,334.93173
6485.0,230.7922,335.0058,259.38974,336.62823
6628.909,231.43741,336.64673,260.30908,338.3194
6772.8184,232.0793,338.28174,261.2244,340.00443
6916.727,232.71756,339.91,262.13516,341.68246
7060.636,233.35187,341.5307,263.04092,343.35257
7204.5454,233.9819,343.14304,263.94128,345.014
7348.4546,234.60742,344.7461,264.8358,346.66586
7492.364,235.22806,346.33917,265.72397,348.3073
7636.273,235.84358,347.92142,266.60544,349.93756
7780.1816,236.45375,349.49207,267.47977,351.5558
7924.091,237.05824,351.05035,268.3466,353.16122
8068.0,237.65686,352.59552,269.20547,354.7531
8211.909,238.24936,354.1269,270.05612,356.3307
8355.818,238.83554,355.64377,270.89813,357.89328
8499.728,239.41515,357.1454,271.7312,359.4401
8643.637,239.988,358.63123,272.55496,360.97055
8787.546,240.55396,360.10056,273.36917,362.48395
8931.454,241.11278,361.55283,274.17346,363.97968
9075.363,241.66438,362.98746,274.96765,365.45718
9219.272,242.20857,364.40387,275.75143,366.91586
9363.182,242.74522,365.8016,276.5246,368.35522
9507.091,243.27422,367.18018,277.28687,369.7748
9651.0,243.79549,368.53912,278.03815,371.1741
9794.909,244.30888,369.87808,278.7782,372.5527
9938.818,244.81438,371.19666,279.50687,373.91025
10082.728,245.31186,372.49448,280.22403,375.24634
10226.637,245.8013,373.77127,280.9295,376.56073
10370.546,246.28264,375.02673,281.62326,377.85303
10514.454,246.75587,376.2607,282.3052,379.1231
10658.363,247.22096,377.4729,282.9752,380.37073
10802.272,247.6779,378.66315,283.63327,381.59564
10946.182,248.1267,379.8314,284.27936,382.7978
11090.091,248.56735,380.97748,284.91342,383.97708
11234.0,248.99986,382.10132,285.5355,385.13345
11377.909,249.42435,383.20297,286.14554,386.26678
11521.818,249.84074,384.28232,286.74368,387.37714
11665.728,250.24916,385.33948,287.32983,388.46454
11809.637,250.64963,386.37442,287.90417,389.529
11953.546,251.0422,387.38724,288.46667,390.57065
12097.454,251.42696,388.3781,289.0175,391.58957
12241.363,251.80402,389.3471,289.55664,392.58594
12385.272,252.17337,390.29437,290.0843,393.55988
12529.182,252.53517,391.22015,290.60052,394.51154
12673.091,252.88951,392.1245,291.10544,395.44122
12817.0,253.23645,393.0078,291.5992,396.34903
12960.909,253.5761,393.87018,292.08197,397.2353
13104.818,253.90857,394.7119,292.5538,398.10022
13248.728,254.23396,395.53326,293.01495,398.94415
13392.637,254.55237,396.3345,293.46548,399.7673
13536.546,254.86394,397.11597,293.90558,400.56998
13680.454,255.16873,397.87784,294.33548,401.35254
13824.363,255.4669,398.62057,294.75525,402.11533
13968.272,255.75856,399.3444,295.16513,402.8586
14112.182,256.0438,400.0497,295.56525,403.58273
14256.091,256.32275,400.73676,295.95578,404.2881
14400.0,256.59552,401.40598,296.33694,404.975
