Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
11905.32,169.02411,191.63174,180.32793,192.18546
12026.582,169.82681,191.32059,180.5737,191.90367
12138.256,170.62456,190.7765,180.70053,191.3876
12243.546,171.41356,190.08258,180.74808,190.7098
12344.416,172.19081,189.29839,180.7446,189.9304
12442.0,172.95364,188.46538,180.7095,189.09525
12537.119,173.6999,187.6112,180.65555,188.23645
12630.127,174.42744,186.75497,180.59122,187.37675
12721.392,175.13457,185.90918,180.52188,186.53072
12811.079,175.81992,185.08257,180.45123,185.7081
12899.208,176.48244,184.2812,180.38182,184.91513
12985.947,177.12169,183.50919,180.31543,184.15546
13071.259,177.73752,182.76958,180.25354,183.43149
13155.272,178.3302,182.06467,180.19743,182.74457
13238.012,178.90024,181.39616,180.1482,182.09567
13319.417,179.4483,180.76553,180.10692,181.48553
13399.59,179.97546,180.1738,180.07463,180.91455
13478.465,180.48273,179.6217,180.05222,180.3831
13556.142,180.97134,179.10994,180.04065,179.89137
13632.626,181.44249,178.63885,180.04068,179.43951
13707.842,181.89742,178.20856,180.05298,179.02757
13785.41,182.28018,177.88057,180.08038,178.7061
13861.585,182.65584,177.58952,180.12268,178.42133
13936.546,183.0239,177.33887,180.18138,178.17645
14010.404,183.38434,177.1305,180.25742,177.97339
14083.237,183.7374,176.96536,180.35138,177.8131
14155.079,184.08376,176.84384,180.4638,177.6959
14225.967,184.42412,176.76585,180.59499,177.62177
14295.924,184.75943,176.73114,180.74529,177.59041
14364.967,185.09064,176.73923,180.91493,177.60132
14433.106,185.4187,176.78952,181.10411,177.65393
14500.358,185.74474,176.88152,181.31313,177.74762
14566.733,186.06966,177.0144,181.54202,177.88165
14632.235,186.39445,177.18748,181.79097,178.05533
14696.883,186.72006,177.39996,182.06001,178.26788
14760.67,187.04733,177.651,182.34917,178.51848
14823.615,187.37717,177.93977,182.65848,178.80638
14885.713,187.71028,178.26543,182.98785,179.13075
14946.983,188.0474,178.62704,183.33722,179.49069
15007.423,188.38925,179.02368,183.70647,179.88539
15067.039,188.7364,179.45445,184.09543,180.31396
15125.84,189.08946,179.91844,184.50395,180.77556
15183.793,189.44942,180.41415,184.9318,181.26878
15240.91,189.81657,180.94069,185.37863,181.79288
15297.193,190.19133,181.49721,185.84427,182.34692
15352.664,190.57396,182.08276,186.32837,182.9301
15407.325,190.96481,182.69644,186.83063,183.54146
15461.182,191.36412,183.33728,187.35071,184.1801
15514.237,191.77213,184.00432,187.88821,184.84508
15566.497,192.18903,184.6967,188.44287,185.53557
15617.968,192.61499,185.4134,189.01419,186.25061
15668.659,193.05019,186.15363,189.6019,186.98938
15718.573,193.49466,186.91637,190.2055,187.75095
15767.713,193.94853,187.70082,190.82468,188.53444
15816.095,194.41187,188.50606,191.45895,189.33908
15863.712,194.8846,189.3312,192.10791,190.16396
15910.572,195.36682,190.17546,192.77115,191.00827
15956.687,195.85843,191.03798,193.44821,191.87119
16002.062,196.3594,191.91795,194.13867,192.7519
16046.696,196.86966,192.81454,194.8421,193.64969
16090.608,197.38911,193.727,195.55806,194.5637
16133.793,197.9177,194.65459,196.28613,195.49326
16176.264,198.4552,195.59654,197.02588,196.43756
16218.0205,199.00156,196.5521,197.77682,197.39594
16259.078,199.55656,197.52058,198.53857,198.36763
16299.4375,200.12004,198.50134,199.3107,199.35199
16339.113,200.69188,199.4936,200.09274,200.34834
16378.102,201.27184,200.49684,200.88434,201.35605
16416.418,201.85976,201.51033,201.68504,202.37442
16454.064,202.45537,202.53346,202.49442,203.40286
16491.053,203.05853,203.56561,203.31207,204.44077
16527.385,203.66902,204.60626,204.13763,205.48755
16563.072,204.28659,205.6548,204.9707,206.54262
16598.117,204.91103,206.71066,205.81085,207.60542
16632.531,205.54208,207.77335,206.65771,208.67542
16666.318,206.17961,208.84229,207.51096,209.75212
16699.492,206.82324,209.917,208.37012,210.83495
16732.05,207.47281,210.99701,209.23491,211.92343
16764.006,208.12814,212.08186,210.10501,213.0171
16795.367,208.78891,213.17102,210.97997,214.11546
16826.137,209.45488,214.26416,211.85953,215.21811
16856.324,210.12589,215.36075,212.74332,216.32455
16885.938,210.80164,216.46043,213.63104,217.43445
16914.986,211.4819,217.56276,214.52234,218.54724
16943.473,212.16647,218.66745,215.41696,219.6627
16971.404,212.8551,219.77397,216.31454,220.78032
16998.793,213.54758,220.8821,217.21484,221.8998
17025.637,214.24367,221.9914,218.11752,223.02075
17051.953,214.94313,223.10162,219.02237,224.14278
17077.744,215.64575,224.21239,219.92908,225.26569
17103.014,216.35136,225.32338,220.83737,226.38904
17127.773,217.05968,226.43431,221.747,227.5125
17152.03,217.77055,227.54489,222.65771,228.63588
17175.787,218.48376,228.6549,223.56934,229.7588
17199.055,219.19908,229.76398,224.48154,230.88106
17221.838,219.9163,230.87193,225.39412,232.00235
17244.143,220.63531,231.9785,226.30692,233.12236
17265.97,221.35582,233.08342,227.21962,234.24089
17287.342,222.07771,234.1865,228.13211,235.3578
17308.252,222.80075,235.28748,229.04411,236.47272
