Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,210.0118,291.17062,232.1201,291.18106
296.9091,210.66832,292.67047,233.0104,292.72845
440.81818,211.34338,294.17578,233.91629,294.28244
584.7273,212.03807,295.69626,234.84084,295.85245
728.63635,212.74806,297.2304,235.78043,297.4367
872.5455,213.46869,298.77597,236.73096,299.0329
1016.4545,214.19666,300.33237,237.68985,300.64017
1160.3636,214.93018,301.89996,238.65579,302.2589
1304.2727,215.66841,303.4795,239.62843,303.8898
1448.1818,216.41109,305.0713,240.60759,305.5332
1592.091,217.15813,306.67545,241.59325,307.18912
1736.0,217.90933,308.29147,242.58516,308.8571
1879.909,218.66452,309.91867,243.58295,310.53644
2023.8182,219.42331,311.5562,244.58615,312.22626
2167.7273,220.1853,313.20316,245.59424,313.9256
2311.6365,220.95004,314.85867,246.60661,315.63364
2455.5454,221.71706,316.52188,247.62271,317.34943
2599.4546,222.48589,318.1919,248.64195,319.07208
2743.3635,223.25612,319.86798,249.66386,320.80087
2887.2727,224.02731,321.54926,250.68785,322.53494
3031.182,224.79907,323.23502,251.71344,324.27347
3175.0908,225.57146,324.92795,252.74136,326.01923
3319.0,226.34372,326.6238,253.77,327.76788
3462.9092,227.11551,328.3221,254.79889,329.51892
3606.818,227.88646,330.0221,255.8276,331.2717
3750.7273,228.6562,331.72318,256.85568,333.02542
3894.6365,229.42427,333.42444,257.8826,334.77927
4038.5454,230.19029,335.12506,258.90778,336.53244
4182.4546,230.95386,336.8242,259.93073,338.28394
4326.364,231.71452,338.52094,260.9509,340.03293
4470.273,232.47191,340.21442,261.96774,341.77847
4614.1816,233.2256,341.90372,262.9807,343.51968
4758.091,233.9752,343.58798,263.9893,345.25565
4902.0,234.72028,345.2663,264.99286,346.98544
5045.909,235.46046,346.93777,265.99103,348.70813
5189.8184,236.19536,348.60153,266.98315,350.42282
5333.727,236.92456,350.25662,267.96875,352.12854
5477.636,237.6477,351.90216,268.94724,353.82443
5621.5454,238.36436,353.53726,269.91815,355.5095
5765.4546,239.07422,355.161,270.88095,357.1829
5909.364,239.77689,356.77255,271.83514,358.84366
6053.273,240.47198,358.37103,272.7802,360.4909
6197.1816,241.15923,359.9556,273.71567,362.12384
6341.091,241.83821,361.52527,274.64108,363.74146
6485.0,242.5087,363.0794,275.55594,365.343
6628.909,243.17032,364.6171,276.45984,366.92755
6772.8184,243.82278,366.1376,277.3523,368.49442
6916.727,244.46585,367.6401,278.23297,370.0428
7060.636,245.09924,369.12393,279.1014,371.57184
7204.5454,245.72267,370.58838,279.9573,373.0809
7348.4546,246.33597,372.0327,280.8002,374.5693
7492.364,246.93887,373.45636,281.62988,376.03632
7636.273,247.53119,374.85867,282.44598,377.4814
7780.1816,248.11278,376.2391,283.24823,378.9039
7924.091,248.68347,377.59708,284.03635,380.3033
8068.0,249.24309,378.93216,284.8101,381.67908
8211.909,249.79153,380.2439,285.56927,383.0308
8355.818,250.32872,381.53186,286.31372,384.35797
8499.728,250.85457,382.79562,287.04324,385.66034
8643.637,251.36899,384.035,287.75772,386.9374
8787.546,251.87195,385.2496,288.45703,388.18903
8931.454,252.36339,386.43918,289.14108,389.4149
9075.363,252.84335,387.6036,289.8099,390.61478
9219.272,253.31181,388.74274,290.46332,391.78857
9363.182,253.76883,389.85638,291.1014,392.9362
9507.091,254.21442,390.94455,291.72418,394.0575
9651.0,254.64865,392.0072,292.33167,395.1525
9794.909,255.07161,393.04434,292.9239,396.2212
9938.818,255.48337,394.05603,293.501,397.26358
10082.728,255.88402,395.04233,294.06308,398.2799
10226.637,256.27368,396.00342,294.61017,399.27017
10370.546,256.65253,396.9394,295.1425,400.23462
10514.454,257.02066,397.8505,295.6602,401.1734
10658.363,257.37823,398.737,296.16342,402.0867
10802.272,257.72543,399.59903,296.6524,402.97495
10946.182,258.06238,400.43695,297.1273,403.83826
11090.091,258.38925,401.25107,297.5883,404.67703
11234.0,258.70633,402.04172,298.03574,405.49155
11377.909,259.0137,402.80917,298.4697,406.28223
11521.818,259.31155,403.55392,298.89056,407.04947
11665.728,259.6002,404.27628,299.2985,407.7936
11809.637,259.87973,404.97665,299.69382,408.5151
11953.546,260.15036,405.65546,300.07672,409.2143
12097.454,260.41235,406.3131,300.44754,409.89178
12241.363,260.6659,406.95013,300.80655,410.54788
12385.272,260.91122,407.56686,301.154,411.18317
12529.182,261.14853,408.16385,301.49017,411.798
12673.091,261.37802,408.74146,301.81534,412.39288
12817.0,261.5999,409.30023,302.12982,412.9683
12960.909,261.8144,409.8406,302.43387,413.52478
13104.818,262.02173,410.363,302.72775,414.06274
13248.728,262.22208,410.86798,303.0118,414.58276
13392.637,262.41565,411.35596,303.2863,415.08517
13536.546,262.6027,411.82736,303.55142,415.57056
13680.454,262.78336,412.28275,303.80753,416.03937
13824.363,262.95786,412.7225,304.05487,416.4921
13968.272,263.1264,413.1471,304.29373,416.92917
14112.182,263.28915,413.55698,304.52432,417.3511
14256.091,263.44635,413.95258,304.74695,417.75824
14400.0,263.59808,414.33438,304.96182,418.15118
