Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,166.37555,245.48843,187.46754,244.03412
296.9091,167.55086,247.31718,188.83112,245.9235
440.81818,168.76666,249.1757,190.233,247.84436
584.7273,170.00647,251.04517,191.6558,249.777
728.63635,171.25507,252.9133,193.08492,251.70848
872.5455,172.50253,254.7764,194.51189,253.63483
1016.4545,173.74423,256.63638,195.93378,255.55783
1160.3636,174.9791,258.49728,197.35078,257.4816
1304.2727,176.20798,260.36276,198.76451,259.4098
1448.1818,177.43219,262.2353,200.17659,261.34494
1592.091,178.65292,264.116,201.58817,263.2882
1736.0,179.87093,266.00504,202.99991,265.23975
1879.909,181.08662,267.90198,204.41196,267.19916
2023.8182,182.30003,269.8062,205.8242,269.1658
2167.7273,183.51103,271.71704,207.23639,271.13898
2311.6365,184.71944,273.634,208.64821,273.1183
2455.5454,185.9251,275.55676,210.05952,275.10333
2599.4546,187.12793,277.48508,211.47015,277.0938
2743.3635,188.32784,279.4187,212.88,279.08954
2887.2727,189.52475,281.35724,214.28891,281.09015
3031.182,190.71861,283.30032,215.69675,283.09528
3175.0908,191.911,285.25244,217.10582,285.1094
3319.0,193.10063,287.20914,218.51407,287.12805
3462.9092,194.28761,289.1706,219.92159,289.15146
3606.818,195.4719,291.1367,221.32832,291.17947
3750.7273,196.6534,293.10706,222.7341,293.2117
3894.6365,197.83197,295.0813,224.1387,295.2477
4038.5454,199.0074,297.0588,225.54185,297.287
4182.4546,200.17953,299.03915,226.94328,299.32898
4326.364,201.34818,301.02176,228.3427,301.37317
4470.273,202.51309,303.00604,229.73979,303.41898
4614.1816,203.6741,304.99146,231.13425,305.4658
4758.091,204.83093,306.97742,232.52576,307.51303
4902.0,205.98334,308.9633,233.91397,309.56012
5045.909,207.13112,310.94846,235.29851,311.60632
5189.8184,208.27396,312.93225,236.67902,313.65103
5333.727,209.41154,314.91403,238.05508,315.69354
5477.636,210.54366,316.89307,239.42636,317.73312
5621.5454,211.66994,318.86865,240.79237,319.7691
5765.4546,212.79008,320.84006,242.15271,321.8007
5909.364,213.90382,322.80658,243.50696,323.82715
6053.273,215.01077,324.76746,244.85468,325.84772
6197.1816,216.11067,326.72195,246.19545,327.86166
6341.091,217.20317,328.66928,247.52881,329.86816
6485.0,218.28793,330.60873,248.85432,331.86655
6628.909,219.36462,332.53952,250.17152,333.8559
6772.8184,220.43292,334.46088,251.47995,335.83554
6916.727,221.49248,336.37207,252.77922,337.80463
7060.636,222.54298,338.2723,254.06877,339.7624
7204.5454,223.58408,340.16077,255.34824,341.70807
7348.4546,224.61545,342.03674,256.61713,343.64078
7492.364,225.63673,343.89944,257.87497,345.55984
7636.273,226.64764,345.7481,259.1214,347.46442
7780.1816,227.64781,347.58197,260.35583,349.3537
7924.091,228.63693,349.40027,261.57794,351.22696
8068.0,229.6147,351.20224,262.78723,353.08337
8211.909,230.58076,352.98715,263.98328,354.9222
8355.818,231.53487,354.75424,265.16565,356.74274
8499.728,232.47668,356.50284,266.33395,358.54416
8643.637,233.40591,358.2322,267.4878,360.32578
8787.546,234.32228,359.94162,268.6267,362.08682
8931.454,235.22552,361.63037,269.75034,363.8266
9075.363,236.11539,363.29788,270.85834,365.54453
9219.272,236.99158,364.94342,271.95032,367.23978
9363.182,237.85387,366.5664,273.02594,368.9118
9507.091,238.70207,368.16623,274.08487,370.55997
9651.0,239.53593,369.7423,275.1268,372.1837
9794.909,240.35527,371.29407,276.15143,373.7824
9938.818,241.15993,372.82104,277.1585,375.35556
10082.728,241.9497,374.3227,278.14774,376.9026
10226.637,242.72444,375.79858,279.11893,378.4231
10370.546,243.48405,377.24826,280.07184,379.91666
10514.454,244.2284,378.67136,281.0063,381.3828
10658.363,244.95738,380.06754,281.92212,382.8213
10802.272,245.67096,381.43646,282.81915,384.23166
10946.182,246.36905,382.77786,283.69736,385.61368
11090.091,247.05164,384.09152,284.55655,386.96713
11234.0,247.71867,385.3773,285.39676,388.29178
11377.909,248.3702,386.63492,286.2179,389.58755
11521.818,249.00618,387.86432,287.01993,390.85416
11665.728,249.62674,389.06546,287.8029,392.0917
11809.637,250.23187,390.23828,288.56683,393.3001
11953.546,250.82169,391.38278,289.3118,394.47928
12097.454,251.39627,392.49902,290.03784,395.62936
12241.363,251.9557,393.58713,290.74512,396.75046
12385.272,252.5002,394.64716,291.43378,397.84262
12529.182,253.02982,395.67932,292.10385,398.90607
12673.091,253.54477,396.68378,292.75568,399.94098
12817.0,254.0452,397.66077,293.38928,400.94757
12960.909,254.53131,398.61057,294.00497,401.92615
13104.818,255.0033,399.53342,294.60297,402.87698
13248.728,255.46138,400.42972,295.1835,403.80045
13392.637,255.90579,401.2997,295.74683,404.6968
13536.546,256.33673,402.14383,296.29318,405.56653
13680.454,256.75443,402.96246,296.8229,406.40994
13824.363,257.15918,403.756,297.33624,407.22754
13968.272,257.5512,404.5249,297.83353,408.01968
14112.182,257.9308,405.26956,298.3151,408.7869
14256.091,258.29816,405.99054,298.7812,409.52963
14400.0,258.65363,406.68817,299.23224,410.2484
