Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
8745.528,238.67732,295.80438,267.24084,297.776
8868.667,239.5446,295.4088,267.4767,297.37775
8982.417,240.37607,294.89117,267.6336,296.85803
9089.738,241.17657,294.27444,267.72552,296.23755
9192.422,241.94977,293.57693,267.76337,295.5353
9291.743,242.69666,292.8116,267.75415,294.7657
9388.482,243.41768,291.98877,267.70322,293.9401
9483.092,244.1132,291.11642,267.6148,293.06772
9575.985,244.78236,290.20035,267.49136,292.15463
9667.2,245.4178,289.24988,267.33383,291.20972
9757.008,246.01996,288.26706,267.1435,290.23517
9845.536,246.58919,287.25497,266.9221,289.23376
9932.805,247.12547,286.21735,266.67142,288.20892
10018.973,247.62929,285.1563,266.3928,287.16245
10104.009,248.1007,284.07538,266.08804,286.09756
10188.036,248.54031,282.97644,265.75836,285.0158
10271.08,248.94843,281.862,265.4052,283.91956
10353.083,249.32523,280.73514,265.03018,282.8115
10434.149,249.67136,279.5973,264.63434,281.69308
10514.218,249.98714,278.4511,264.21912,280.5667
10593.393,250.27312,277.2977,263.7854,279.43338
10674.673,250.50731,276.1485,263.3279,278.3015
10754.748,250.71344,274.99442,262.85394,277.16516
10833.826,250.89128,273.83774,262.3645,276.0264
10912.04,251.04076,272.68036,261.86057,274.8871
10989.4795,251.16206,271.5241,261.34308,273.74893
11066.208,251.25545,270.37057,260.81302,272.6136
11142.268,251.32138,269.2214,260.2714,271.4824
11217.694,251.36038,268.078,259.71918,270.35672
11292.512,251.37305,266.94165,259.15735,269.23788
11366.747,251.36015,265.8136,258.58688,268.127
11440.418,251.32245,264.69504,258.00873,267.0252
11513.543,251.26073,263.58704,257.4239,265.93353
11586.138,251.17587,262.49072,256.8333,264.853
11658.221,251.06865,261.40704,256.23785,263.78452
11729.809,250.94002,260.33704,255.63852,262.729
11800.911,250.79082,259.2814,255.0361,261.68735
11871.547,250.62196,258.24115,254.43155,260.6603
11941.729,250.43433,257.21704,253.82568,259.64874
12011.466,250.2289,256.20978,253.21933,258.65335
12080.778,250.0065,255.2202,252.61334,257.67477
12149.677,249.76814,254.24887,252.00851,256.7137
12218.134,249.51505,253.2962,251.40562,255.77063
12286.176,249.24797,252.36285,250.80542,254.84604
12353.812,248.96788,251.44939,250.20863,253.94057
12421.057,248.67569,250.55627,249.61598,253.0547
12487.919,248.37225,249.68404,249.02814,252.18886
12554.406,248.05858,248.83311,248.44585,251.34352
12620.526,247.73544,248.00383,247.86963,250.51909
12686.289,247.40382,247.19662,247.30023,249.71584
12751.693,247.06465,246.41182,246.73824,248.93422
12816.751,246.7187,245.64975,246.18423,248.17451
12881.459,246.36694,244.91064,245.6388,247.43703
12945.83,246.01018,244.19481,245.1025,246.72198
13009.858,245.64928,243.50244,244.57587,246.02966
13073.548,245.28508,242.83379,244.05943,245.36029
13136.907,244.91835,242.18896,243.55365,244.71402
13199.93,244.54994,241.56819,243.05907,244.09103
13262.62,244.18059,240.97159,242.57608,243.49153
13324.976,243.81105,240.39926,242.10516,242.91565
13386.998,243.4421,239.85133,241.64671,242.36346
13448.685,243.07442,239.32788,241.20114,241.83511
13510.037,242.70876,238.82893,240.76884,241.33061
13571.051,242.34576,238.35454,240.35016,240.85008
13631.72,241.98608,237.90475,239.94542,240.3936
13692.047,241.63037,237.47958,239.55498,239.9611
13752.027,241.27925,237.07898,239.17911,239.55269
13811.657,240.93332,236.70293,238.81812,239.16832
13870.933,240.59311,236.35136,238.47223,238.80794
13929.85,240.2592,236.0243,238.14175,238.47162
13988.402,239.93213,235.72156,237.82684,238.1592
14046.587,239.6124,235.44313,237.52777,237.87067
14104.397,239.30046,235.1889,237.24469,237.60593
14161.834,238.99683,234.95868,236.97775,237.36491
14218.883,238.70187,234.7524,236.72714,237.14746
14275.54,238.41608,234.56992,236.493,236.95352
14331.802,238.1398,234.41103,236.27542,236.78293
14387.665,237.8734,234.2756,236.0745,236.63554
14443.118,237.61722,234.16344,235.89032,236.5112
14498.157,237.3716,234.07433,235.72296,236.40973
14552.779,237.13689,234.00807,235.57248,236.33096
14606.974,236.91328,233.96442,235.43884,236.27464
14660.738,236.70107,233.94324,235.32214,236.24068
14714.0625,236.50055,233.94415,235.22235,236.22876
14766.945,236.3119,233.96701,235.13947,236.2387
14819.379,236.13528,234.01152,235.0734,236.27022
14871.3545,235.97092,234.0774,235.02415,236.3231
14922.875,235.81894,234.16438,234.99167,236.39713
14973.922,235.6795,234.27219,234.97585,236.492
15024.5,235.55276,234.4005,234.97662,236.60739
15074.601,235.43878,234.54901,234.9939,236.74313
15124.219,235.33763,234.71742,235.02753,236.89882
15173.35,235.2494,234.90543,235.07742,237.07419
15221.993,235.17413,235.11273,235.14343,237.26897
15270.137,235.11191,235.33893,235.22542,237.48286
15317.781,235.06265,235.58372,235.32318,237.71542
15364.922,235.02647,235.84677,235.43661,237.96649
15411.548,235.00327,236.12772,235.56549,238.23566
15457.671,234.99306,236.42624,235.70966,238.52258
15503.2705,234.99585,236.74197,235.86891,238.82695
