Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,216.40941,317.4223,243.9384,318.32578
296.9091,217.30055,319.21713,245.08112,320.17398
440.81818,218.19882,321.02014,246.23149,322.03134
584.7273,219.10497,322.8317,247.3901,323.8978
728.63635,220.01569,324.64676,248.55309,325.76813
872.5455,220.92747,326.46167,249.71687,327.6384
1016.4545,221.8379,328.27466,250.87918,329.50674
1160.3636,222.74547,330.085,252.0386,331.37234
1304.2727,223.64934,331.8922,253.19449,333.23477
1448.1818,224.54898,333.69577,254.34628,335.0934
1592.091,225.44405,335.4949,255.49344,336.9474
1736.0,226.33412,337.28854,256.6354,338.7957
1879.909,227.21869,339.07556,257.77158,340.63712
2023.8182,228.0973,340.85483,258.90118,342.47052
2167.7273,228.96945,342.62518,260.02362,344.2947
2311.6365,229.8346,344.38553,261.1382,346.10858
2455.5454,230.6923,346.13483,262.24426,347.91104
2599.4546,231.54214,347.87216,263.3413,349.70114
2743.3635,232.38364,349.59653,264.42865,351.47787
2887.2727,233.21643,351.307,265.50583,353.2403
3031.182,234.04013,353.00287,266.57236,354.9876
3175.0908,234.85591,354.68658,267.6297,356.72235
3319.0,235.66203,356.35406,268.67554,358.44037
3462.9092,236.45828,358.00476,269.70956,360.14108
3606.818,237.24445,359.63812,270.7314,361.82385
3750.7273,238.02026,361.25336,271.74075,363.48807
3894.6365,238.78543,362.84995,272.73715,365.13293
4038.5454,239.53969,364.42706,273.72025,366.75778
4182.4546,240.2828,365.98407,274.68967,368.36194
4326.364,241.0145,367.5203,275.64505,369.94467
4470.273,241.73459,369.03516,276.58606,371.50534
4614.1816,242.44284,370.52805,277.5124,373.04333
4758.091,243.13907,371.9984,278.42374,374.55814
4902.0,243.82314,373.44568,279.3199,376.0492
5045.909,244.49481,374.86948,280.20047,377.516
5189.8184,245.15404,376.26923,281.0654,378.95804
5333.727,245.80063,377.64456,281.9144,380.37494
5477.636,246.43452,378.99512,282.7473,381.76627
5621.5454,247.05563,380.32056,283.56396,383.13168
5765.4546,247.66385,381.62057,284.36423,384.4709
5909.364,248.25917,382.8948,285.148,385.7836
6053.273,248.84154,384.1432,285.91525,387.06958
6197.1816,249.41096,385.36542,286.6658,388.32867
6341.091,249.96742,386.56146,287.39975,389.56073
6485.0,250.51097,387.73114,288.11697,390.7656
6628.909,251.04161,388.87445,288.8176,391.94333
6772.8184,251.55943,389.99133,289.5016,393.09378
6916.727,252.0645,391.08188,290.16898,394.2171
7060.636,252.55688,392.14603,290.81992,395.31326
7204.5454,253.03671,393.18402,291.4545,396.38232
7348.4546,253.50407,394.19583,292.07278,397.42453
7492.364,253.95912,395.18176,292.67496,398.44
7636.273,254.40196,396.1419,293.2612,399.42886
7780.1816,254.83278,397.07657,293.83163,400.39145
7924.091,255.25172,397.9859,294.38644,401.32797
8068.0,255.65897,398.8703,294.92587,402.23877
8211.909,256.0547,399.72995,295.45016,403.12408
8355.818,256.4391,400.56528,295.95944,403.9843
8499.728,256.81238,401.37665,296.45404,404.8198
8643.637,257.1747,402.1643,296.93417,405.63086
8787.546,257.5263,402.92874,297.4001,406.418
8931.454,257.86746,403.67035,297.8521,407.18158
9075.363,258.19827,404.38953,298.29044,407.922
9219.272,258.51904,405.0867,298.7154,408.6398
9363.182,258.82996,405.76227,299.12723,409.33533
9507.091,259.13126,406.4168,299.5263,410.0091
9651.0,259.4232,407.05066,299.9128,410.6616
9794.909,259.70593,407.6643,300.28714,411.2933
9938.818,259.97974,408.2583,300.64954,411.90466
10082.728,260.24487,408.83295,301.00027,412.4962
10226.637,260.50153,409.3889,301.33972,413.06833
10370.546,260.7499,409.92654,301.66812,413.6216
10514.454,260.99026,410.44635,301.98578,414.15656
10658.363,261.2228,410.94876,302.29297,414.67358
10802.272,261.4478,411.4344,302.59,415.17325
10946.182,261.6654,411.9035,302.8772,415.65598
11090.091,261.8759,412.35675,303.15475,416.12222
11234.0,262.0794,412.79446,303.42303,416.57254
11377.909,262.27618,413.21716,303.68225,417.00735
11521.818,262.46646,413.62524,303.93277,417.42712
11665.728,262.6504,414.0192,304.17474,417.8323
11809.637,262.8282,414.3994,304.40848,418.2234
11953.546,263.00006,414.76633,304.63428,418.60077
12097.454,263.16617,415.12036,304.85233,418.96484
12241.363,263.32675,415.46198,305.06287,419.31607
12385.272,263.4819,415.79147,305.26624,419.65485
12529.182,263.63184,416.1093,305.4626,419.98166
12673.091,263.77676,416.41586,305.6522,420.29678
12817.0,263.91678,416.7115,305.83517,420.60068
12960.909,264.05212,416.9966,306.0119,420.89374
13104.818,264.18286,417.27148,306.1825,421.17627
13248.728,264.30923,417.53653,306.34714,421.44867
13392.637,264.43134,417.79202,306.50613,421.71124
13536.546,264.54932,418.0384,306.65958,421.9644
13680.454,264.66333,418.27585,306.80768,422.20837
13824.363,264.77353,418.50476,306.95068,422.44357
13968.272,264.88004,418.72543,307.0887,422.67023
14112.182,264.9829,418.9381,307.22195,422.8887
14256.091,265.08237,419.14313,307.35056,423.09933
14400.0,265.17853,419.34073,307.47473,423.30222
