Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
9567.507,154.05138,194.86327,174.45732,195.50574
9696.953,155.07797,194.26205,174.67001,194.91989
9820.023,156.1201,193.50806,174.81409,194.18091
9938.674,157.16515,192.63531,174.90024,193.31575
10053.857,158.1968,191.67644,174.93661,192.35695
10166.491,159.2084,190.64865,174.92853,191.32462
10277.104,160.19453,189.56575,174.88014,190.23573
10385.951,161.15073,188.4394,174.79507,189.10443
10493.355,162.07393,187.27742,174.67567,187.93997
10599.381,162.96155,186.08772,174.52463,186.75114
10704.212,163.81213,184.87566,174.3439,185.54337
10807.919,164.62462,183.64676,174.13568,184.32188
10910.456,165.39816,182.4067,173.90244,183.09204
11011.956,166.13287,181.15947,173.64618,181.85716
11112.349,166.82874,179.91005,173.36938,180.62178
11211.746,167.48643,178.66193,173.07419,179.38881
11310.154,168.10666,177.41905,172.76285,178.16174
11407.49,168.6902,176.18553,172.43787,176.94446
11503.8545,169.2382,174.9645,172.10135,175.73967
11599.16,169.7518,173.75952,171.75566,174.55084
11693.511,170.23235,172.5734,171.40286,173.38048
11789.45,170.63713,171.46405,171.0506,172.27863
11884.191,171.01611,170.37651,170.69632,171.19846
11977.882,171.36928,169.31606,170.34267,170.14507
12070.615,171.69705,168.28679,169.99191,169.12242
12162.44,172.00026,167.29181,169.64603,168.13362
12253.395,172.27998,166.33372,169.30685,167.1812
12343.506,172.53752,165.41466,168.97609,166.26718
12432.781,172.77426,164.53636,168.6553,165.3933
12521.233,172.99176,163.70044,168.3461,164.56099
12608.868,173.19156,162.90822,168.0499,163.77155
12695.689,173.3753,162.16078,167.76804,163.02605
12781.7,173.54462,161.45915,167.50189,162.32542
12866.905,173.70113,160.80418,167.25266,161.67049
12951.299,173.84642,160.19649,167.02145,161.06187
13034.889,173.98212,159.63664,166.80939,160.50017
13117.674,174.10976,159.12505,166.6174,159.98575
13199.653,174.23088,158.662,166.44644,159.51898
13280.827,174.34694,158.2477,166.29732,159.10005
13361.196,174.45937,157.88222,166.17079,158.72908
13440.756,174.56953,157.56549,166.0675,158.40607
13519.508,174.67879,157.29745,165.98813,158.13094
13597.425,174.78883,157.07735,165.93309,157.90317
13674.509,174.90074,156.90503,165.9029,157.72255
13750.766,175.01561,156.7801,165.89786,157.58878
13826.188,175.13452,156.7022,165.91837,157.5015
13900.786,175.25848,156.6708,165.96465,157.46027
13974.552,175.38844,156.68533,166.0369,157.46455
14047.487,175.52534,156.74512,166.13522,157.51375
14119.593,175.67003,156.84955,166.2598,157.60725
14190.861,175.82329,156.99779,166.41054,157.74432
14261.294,175.98587,157.18913,166.5875,157.92432
14330.895,176.15848,157.42273,166.7906,158.14641
14399.659,176.34175,157.69777,167.01976,158.40984
14467.583,176.53622,158.01329,167.27475,158.71378
14534.674,176.74246,158.36852,167.55548,159.05737
14600.925,176.9609,158.76237,167.86163,159.43973
14666.342,177.19197,159.19403,168.193,159.85997
14730.917,177.43605,159.66246,168.54926,160.31717
14794.657,177.69347,160.16673,168.9301,160.8104
14857.563,177.96446,160.70583,169.33514,161.33873
14919.636,178.24933,161.2788,169.76407,161.90125
14980.874,178.54817,161.88457,170.21637,162.49692
15041.279,178.8612,162.5222,170.69171,163.12482
15100.8545,179.1885,163.1907,171.1896,163.784
15159.606,179.53014,163.88907,171.7096,164.4735
15217.532,179.88617,164.6163,172.25124,165.19232
15274.637,180.25658,165.37143,172.814,165.93954
15330.926,180.64133,166.15341,173.39737,166.71416
15386.397,181.04037,166.96138,174.00089,167.51527
15441.061,181.45363,167.79428,174.62396,168.34193
15494.916,181.88101,168.65118,175.2661,169.19316
15547.97,182.32236,169.53119,175.92677,170.06808
15600.223,182.77753,170.43332,176.60542,170.96574
15651.687,183.24634,171.35667,177.30151,171.88528
15702.359,183.72856,172.30035,178.01447,172.82578
15752.248,184.22408,173.26349,178.74377,173.78636
15801.358,184.73253,174.24521,179.48886,174.76616
15849.703,185.2538,175.24464,180.24922,175.76433
15897.275,185.78755,176.26096,181.02426,176.78008
15944.089,186.33357,177.29333,181.81345,177.81252
15990.15,186.89153,178.34102,182.61627,178.86089
16035.459,187.4612,179.40317,183.43219,179.9244
16080.032,188.04222,180.47905,184.26064,181.00226
16123.87,188.63435,181.56793,185.10114,182.09377
16166.978,189.23721,182.66899,185.9531,183.19814
16209.365,189.85057,183.78165,186.8161,184.31468
16251.039,190.47409,184.90515,187.68962,185.44269
16292.003,191.1074,186.03883,188.57312,186.58147
16332.27,191.75026,187.18202,189.46614,187.73038
16371.841,192.4023,188.3341,190.3682,188.88875
16410.73,193.06317,189.49446,191.27881,190.05594
16448.94,193.73259,190.66249,192.19754,191.23138
16486.479,194.41022,191.83759,193.1239,192.41447
16523.354,195.09575,193.01923,194.0575,193.60458
16559.572,195.78885,194.20685,194.99785,194.8012
16595.145,196.4892,195.39987,195.94453,196.00374
16630.074,197.19649,196.59782,196.89716,197.21169
16664.373,197.91039,197.80025,197.85532,198.42456
16698.043,198.63062,199.00662,198.81862,199.64183
