Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
10438.585,290.1952,492.95944,391.57733,493.52496
10564.431,293.19208,491.77005,392.48108,492.30203
10682.369,296.09747,490.43304,393.26526,490.9331
10794.536,298.9135,488.97147,393.9425,489.4398
10902.356,301.6448,487.4022,394.5235,487.84012
11006.7,304.29294,485.74286,395.01788,486.15277
11108.091,306.8577,484.01053,395.4341,484.39615
11206.926,309.34177,482.21576,395.77875,482.58212
11303.387,311.74442,480.3722,396.0583,480.72467
11397.662,314.06796,478.4877,396.27783,478.8318
11489.836,316.313,476.57138,396.4422,476.91263
11579.931,318.47876,474.63278,396.5558,474.97638
11668.0205,320.56766,472.67712,396.62238,473.028
11754.089,322.57916,470.71265,396.6459,471.07504
11838.175,324.5166,468.74228,396.62946,469.12036
11920.28,326.38058,466.7716,396.5761,467.16913
12000.385,328.1709,464.8069,396.4889,465.22702
12078.545,329.89005,462.85092,396.37048,463.2965
12154.725,331.53802,460.90872,396.2234,461.3825
12228.99,333.1175,458.9824,396.04993,459.48642
12301.354,334.62976,457.0745,395.8521,457.6109
12373.522,336.0445,455.19702,395.62076,455.76572
12443.623,337.3924,453.34183,395.36713,453.94467
12511.798,338.67435,451.5114,395.0929,452.14993
12578.13,339.89154,449.7076,394.79956,450.38318
12642.688,341.04514,447.93216,394.48865,448.64584
12705.531,342.13657,446.18622,394.16138,446.93915
12766.699,343.16733,444.4711,393.8192,445.264
12826.229,344.1388,442.78745,393.46313,443.62106
12884.165,345.05264,441.13614,393.0944,442.0109
12940.549,345.91055,439.51758,392.71405,440.4339
12995.412,346.71405,437.932,392.32303,438.89017
13048.801,347.46506,436.3799,391.9225,437.37982
13100.752,348.16513,434.86118,391.51315,435.90286
13151.308,348.81595,433.37585,391.0959,434.45917
13200.506,349.4193,431.92386,390.67157,433.04837
13248.395,349.97687,430.50488,390.24088,431.6704
13295.009,350.4903,429.1188,389.80457,430.3247
13340.395,350.96127,427.7651,389.3632,429.01096
13384.597,351.39136,426.44342,388.9174,427.72867
13427.647,351.7823,425.15332,388.4678,426.4772
13469.596,352.13562,423.89426,388.01495,425.25613
13510.457,352.45316,422.66565,387.5594,424.06473
13550.278,352.73633,421.46664,387.1015,422.90234
13589.098,352.98666,420.2969,386.64178,421.76834
13626.959,353.2056,419.15567,386.18063,420.66196
13663.895,353.3945,418.0423,385.71838,419.58255
13699.948,353.5548,416.95596,385.25537,418.52948
13735.149,353.68774,415.89615,384.79193,417.50208
13769.536,353.79474,414.8621,384.32843,416.49948
13803.141,353.87698,413.85312,383.86505,415.52112
13835.998,353.93564,412.86847,383.40204,414.56622
13868.137,353.97195,411.90753,382.93976,413.6342
13899.589,353.98718,410.96954,382.47836,412.72427
13930.388,353.98215,410.05386,382.018,411.83575
13960.553,353.95816,409.15982,381.559,410.96814
13990.12,353.91608,408.28683,381.10144,410.12067
14019.115,353.85696,407.43408,380.6455,409.29263
14047.56,353.78168,406.601,380.19135,408.48355
14075.478,353.69125,405.78708,379.73917,407.6928
14102.898,353.5864,404.9916,379.289,406.91983
14129.84,353.4681,404.214,378.84106,406.16394
14156.323,353.33713,403.4537,378.39542,405.42465
14182.37,353.1941,402.71024,377.95215,404.70148
14208.005,353.03986,401.98297,377.5114,403.99384
14233.241,352.87515,401.27145,377.0733,403.3012
14258.097,352.7006,400.5751,376.63785,402.6233
14282.591,352.51672,399.8935,376.2051,401.95938
14306.74,352.32428,399.2262,375.77524,401.30917
14330.563,352.12375,398.5726,375.34818,400.67218
14354.066,351.91574,397.93246,374.9241,400.04797
14377.272,351.7008,397.3052,374.503,399.43625
14400.1875,351.47937,396.69052,374.08496,398.83652
14422.831,351.252,396.0881,373.67004,398.2484
14445.213,351.0191,395.49734,373.25824,397.67163
14467.342,350.7812,394.91806,372.8496,397.1058
14489.232,350.53845,394.34988,372.44415,396.55066
14510.889,350.2916,393.79242,372.042,396.00583
14532.327,350.0407,393.24548,371.6431,395.47095
14553.557,349.78625,392.7086,371.24744,394.94592
14574.58,349.5286,392.18155,370.85507,394.4302
14595.408,349.2681,391.66412,370.46613,393.92374
14616.057,349.00504,391.1559,370.08047,393.42624
14636.521,348.7396,390.65674,369.69818,392.93744
14656.812,348.47217,390.16647,369.31934,392.457
14676.937,348.20294,389.6847,368.94382,391.98492
14696.903,347.93216,389.21115,368.57166,391.52072
14716.714,347.66013,388.74588,368.203,391.06448
14736.38,347.38702,388.28845,367.83774,390.61578
14755.8955,347.11304,387.83868,367.47586,390.1745
14775.274,346.83838,387.39648,367.11743,389.7405
14794.52,346.56326,386.96164,366.76245,389.3136
14813.631,346.28787,386.53397,366.41092,388.8936
14832.619,346.01227,386.11328,366.06277,388.48038
14851.481,345.7367,385.69943,365.71808,388.07376
14870.223,345.46133,385.2923,365.37683,387.67365
14888.847,345.18634,384.8916,365.03897,387.2798
14907.357,344.91174,384.49747,364.7046,386.89218
14925.759,344.63766,384.1095,364.3736,386.5106
14944.052,344.36438,383.72766,364.04602,386.135
