Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
12909.17,433.98938,488.46802,461.2287,489.92142
12991.128,433.85165,488.1168,460.98422,489.53568
13042.876,433.2393,487.4421,460.3407,488.79764
13076.288,432.31186,486.5397,459.42578,487.82504
13098.284,431.17017,485.46964,458.3199,486.6953
13113.217,429.88715,484.28003,457.0836,485.46155
13123.767,428.5154,483.0075,455.76147,484.16025
13131.77,427.0919,481.68057,454.38623,482.81723
13138.2705,425.6433,480.3202,452.98175,481.45096
13144.05,424.1882,478.9422,451.5652,480.07452
13149.559,422.73953,477.55844,450.149,478.69754
13155.011,421.3064,476.17792,448.74216,477.3275
13160.66,419.8948,474.80734,447.35107,475.96997
13166.551,418.50903,473.45203,445.98053,474.62903
13172.818,417.152,472.11624,444.63412,473.30844
13179.498,415.82544,470.80328,443.31436,472.01077
13186.519,414.53085,469.51584,442.02335,470.73834
13193.962,413.2688,468.2557,440.76227,469.4927
13201.719,412.04,467.0246,439.5323,468.275
13209.84,410.84442,465.82214,438.33328,467.0851
13218.268,409.6817,464.64774,437.16473,465.92206
13229.445,408.59897,463.43613,436.01755,464.7237
13240.471,407.526,462.2379,434.88196,463.53964
13251.603,406.46768,461.05377,433.76074,462.37015
13262.961,405.42664,459.8835,432.6551,461.2152
13274.595,404.40427,458.72733,431.5658,460.07437
13286.52,403.40125,457.58493,430.4931,458.9475
13298.74,402.41772,456.456,429.43686,457.83398
13311.24,401.4534,455.3402,428.3968,456.73373
13324.008,400.50793,454.23737,427.37265,455.6463
13337.029,399.58072,453.14716,426.36395,454.57138
13350.291,398.67105,452.06927,425.37018,453.50873
13363.774,397.77844,451.00345,424.39093,452.45816
13377.473,396.90222,449.94955,423.4259,451.41937
13391.369,396.04172,448.90726,422.4745,450.39224
13405.462,395.1964,447.87653,421.53647,449.37662
13419.731,394.3656,446.8571,420.61133,448.37207
13434.171,393.549,445.8488,419.6989,447.3787
13448.78,392.74594,444.8515,418.7987,446.39627
13463.544,391.95593,443.86505,417.9105,445.4247
13478.46,391.17847,442.8893,417.03387,444.4637
13493.523,390.41336,441.92426,416.16882,443.51334
13508.719,389.65967,440.96994,415.31482,442.57352
13524.035,388.91705,440.02606,414.47156,441.64417
13539.478,388.18542,439.0926,413.639,440.72498
13555.029,387.46432,438.1692,412.81677,439.81586
13570.687,386.75348,437.2559,412.0047,438.91663
13586.451,386.0526,436.35248,411.20255,438.02725
13602.308,385.3614,435.4589,410.41016,437.14752
13618.256,384.67947,434.57492,409.6272,436.27734
13634.288,384.00668,433.70044,408.85358,435.41656
13650.401,383.34265,432.8354,408.08902,434.56506
13666.594,382.6872,431.97958,407.33337,433.72266
13682.862,382.03998,431.1331,406.58655,432.8893
13699.194,381.40082,430.29562,405.8482,432.06506
13715.595,380.76956,429.46707,405.11832,431.2495
13732.061,380.14578,428.64725,404.3965,430.4426
13748.581,379.52945,427.83627,403.68286,429.64438
13765.159,378.92044,427.03387,402.97717,428.8546
13781.789,378.3183,426.24002,402.27917,428.07327
13798.47,377.72302,425.45462,401.5888,427.30023
13815.198,377.1345,424.67743,400.90594,426.53528
13831.969,376.5523,423.90848,400.2304,425.7784
13848.782,375.97656,423.14764,399.5621,425.02948
13865.636,375.4071,422.3949,398.901,424.28857
13882.525,374.8436,421.64996,398.24677,423.5553
13899.446,374.28595,420.91293,397.59943,422.82986
13916.404,373.73413,420.1836,396.95886,422.112
13933.389,373.18802,419.46188,396.32495,421.4016
13950.403,372.64737,418.74768,395.6975,420.69864
13967.445,372.11215,418.04105,395.0766,420.00305
13984.512,371.58224,417.3418,394.46204,419.31464
14001.6,371.05756,416.6498,393.8537,418.63345
14018.707,370.5379,415.96512,393.25153,417.95938
14035.835,370.02332,415.2875,392.6554,417.2923
14052.981,369.5136,414.61697,392.0653,416.6321
14070.141,369.00867,413.95346,391.48108,415.97888
14087.315,368.50845,413.29684,390.90265,415.3323
14104.5,368.01297,412.64703,390.33002,414.69257
14121.704,367.52197,412.00397,389.76297,414.05942
14138.909,367.0355,411.3677,389.2016,413.43277
14156.13,366.55338,410.73804,388.6457,412.81274
14173.354,366.07568,410.11493,388.0953,412.19907
14190.585,365.60223,409.49826,387.55023,411.59186
14207.817,365.1329,408.88803,387.01047,410.99088
14225.058,364.66788,408.28418,386.476,410.39615
14242.297,364.20682,407.68668,385.94675,409.80756
14259.536,363.74988,407.0953,385.4226,409.22516
14276.777,363.29684,406.5102,384.9035,408.6488
14294.015,362.8478,405.9312,384.38953,408.07843
14311.251,362.40268,405.35825,383.88046,407.51395
14328.4795,361.96124,404.7913,383.37628,406.9554
14345.709,361.52368,404.23022,382.87695,406.40262
14362.93,361.08987,403.67517,382.3825,405.8558
14380.142,360.65964,403.1258,381.8927,405.3145
14397.345,360.23322,402.58237,381.40778,404.77902
14414.54,359.8103,402.04456,380.92743,404.24902
14431.723,359.39102,401.51248,380.45175,403.72467
14448.893,358.97525,400.98605,379.98065,403.2058
14466.052,358.56293,400.4651,379.514,402.6924
