Time (s),Unnamed: 0,T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.97,0.0,100.0,102.06,100.2,102.13847222222222
299.3376530612245,1.0383403790087462,100.0,104.04361352769679,100.50418594023323,104.15746740362812
444.705306122449,2.071568707482993,100.00071568707483,106.03743153741496,100.89149023129252,106.176462585034
590.0729591836736,3.043592565597668,100.01087185131196,108.03369772594752,101.3204885058309,108.1954577664399
735.440612244898,4.07647074829932,100.03229412244897,110.02752974149661,101.81129420408163,110.2144529478458
880.8082653061225,5.048834287696368,100.06293005726178,112.024250175254,102.33637051535604,112.2334481292517
1026.175918367347,6.0869708454810505,100.1278273760933,114.02698402332362,102.8995733819242,114.25244331065758
1171.5435714285716,7.116957142857144,100.22403485714285,116.02210128571429,103.49602214285714,116.27143849206348
1316.911224489796,8.092223032069972,100.3429112244898,118.02706822157434,104.12810051020408,118.2904336734694
1462.2788775510205,9.12185918367347,100.49315324489795,120.02224851020408,104.78652002040816,120.30942885487529
1607.646530612245,10.097475218658893,100.67949504373178,122.02812717201166,105.47725790087463,122.32842403628118
1753.0141836734695,11.135815597667639,100.89259574344024,124.03076594752186,106.19642907434402,124.34741921768706
1898.3818367346942,12.162545578231294,101.14876367346939,126.02646934693878,106.94003646258504,126.36641439909296
2043.7494897959186,13.141067784256562,101.44232033527697,128.03226082361516,107.717211516035,128.38540958049887
2189.117142857143,14.16744761904762,101.76028114285715,130.03661657142857,108.51233047619048,130.40440476190474
2334.484795918367,15.146319970845479,102.11413838921283,132.04239754373177,109.33851917638484,132.42339994331064
2479.852448979592,16.184660349854227,102.5038641399417,134.04639447521865,110.18511469387755,134.44239512471654
2625.2201020408165,17.208134013605445,102.9257416462585,136.05083740816326,111.06148329251701,136.46139030612244
2770.587755102041,18.18991253644315,103.37735976676386,138.05653119533528,111.95712303206997,138.48038548752834
2915.9554081632655,19.21303605442177,103.86290910884354,140.06098463265306,112.8745146122449,140.49938066893424
3061.3230612244897,20.195164723032068,104.38148565597668,142.0666679154519,113.81150319241982,142.51837585034014
3206.6907142857144,21.233505102040816,104.92609275510203,144.0729998979592,114.77715974489796,144.537371031746
3352.0583673469387,22.25372244897959,105.49477069387756,146.08266824489797,115.74372244897958,146.55636621315193
3497.4260204081634,23.23875728862974,106.09325437317784,148.0831891399417,116.71681942419825,148.57536139455783
3642.793673469388,24.25862448979592,106.72327840816327,150.09535269387754,117.71155571428571,150.5943565759637
3788.1613265306123,25.24400947521866,107.37616606413994,152.100938287172,118.73400947521866,152.6133517573696
3933.528979591837,26.28234985422741,108.04917440233237,154.1049352186589,119.77799685131195,154.6323469387755
4078.8966326530613,27.29931088435374,108.75149005442177,156.10957353061227,120.84522819047619,156.6513421201814
4224.264285714286,28.28760204081633,109.47707346938776,158.11507193877551,121.9348581632653,158.67033730158732
4369.631938775511,29.304212925170074,110.23032821088435,160.12276288435376,123.03984486394559,160.6893324829932
4514.999591836735,30.29285422740525,111.00256921282799,162.13520865889214,124.15921110787173,162.7083276643991
4660.36724489796,31.331194606413998,111.79833179300292,164.13920559037902,125.29762601311954,164.727322845805
4805.734897959184,32.344899319727894,112.62006240816326,166.14394159183675,126.45732817687076,166.7463180272109
4951.102551020409,33.33644679300292,113.46925083819242,168.15270677842565,127.63354934402332,168.7653132086168
5096.470204081634,34.34980136054423,114.33831923809524,170.16408881632654,128.82375368707483,170.7843083900227
5241.8378571428575,35.34169897959184,115.2272781122449,172.17289602040816,130.02978780612244,172.80330357142856
5387.205510204082,36.380039358600584,116.14203542274053,174.18347596209912,131.2522468367347,174.82229875283446
5532.573163265307,37.39048775510204,117.08267800000002,176.18830965306122,132.49372920408163,176.84129393424035
5677.940816326532,38.38529154518951,118.03832113702624,178.19746559766764,133.7500556851312,178.86028911564625
5823.308469387755,39.39538979591837,119.01329759183673,180.20845687755101,135.02191453061224,180.87928429705215
5968.67612244898,40.39054373177843,120.01273285714285,182.21765483965015,136.30817966472304,182.89827947845805
6114.043775510205,41.42888411078718,121.0345952696793,184.22774633381925,137.61039397959183,184.91727465986392
6259.4114285714295,42.4360761904762,122.07096228571429,186.2370384761905,138.92306361904764,186.93626984126985
6404.779081632654,43.4341362973761,123.12716038629739,188.24788305393588,140.25003582361518,188.95526502267575
6550.146734693878,44.44097823129252,124.19507605442178,190.26164450340139,141.57091082993196,190.97426020408165
6695.514387755103,45.43938848396502,125.25817625364432,192.28241365889215,142.86923560495626,192.99325538548752
6840.882040816327,46.47772886297377,126.32683801749272,194.29201670553937,144.18149294460642,195.0122505668934
6986.249693877552,47.48166462585035,127.41428102721089,196.30186242176873,145.50988053741497,197.0312457482993
7131.617346938777,48.48298104956269,128.51678972303208,198.29283418367348,146.8478753644315,199.02340864917397
7276.985000000001,49.48656666666667,129.63441733333332,199.299194,148.118477,200.0
7422.352653061225,50.48823323615161,130.76705655976676,199.33976466472305,149.25776256559766,200.0
7567.72030612245,51.52657361516036,131.914496712828,199.3605314723032,150.31657361516034,200.0
7713.087959183675,52.5272530612245,133.0727036734694,199.3805450612245,151.327798122449,200.0
7858.4556122448985,53.53182580174928,134.2409631559767,199.39531825801748,152.29396147959184,200.0
8003.823265306123,54.53215510204082,135.4139076734694,199.4106431020408,153.2308688979592,200.0
8149.190918367348,55.5370779883382,136.58152734693877,199.42537077988337,154.14725784985424,200.0
8294.558571428572,56.57541836734694,137.7387143877551,199.43575418367348,155.03335142857142,200.0
8439.926224489796,57.57284149659864,138.8859529659864,199.44572841496597,155.8998289319728,200.0
