Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
9242.972,279.13495,399.20554,339.17023,400.41608
9366.141,280.84027,398.67245,339.75635,399.87338
9482.243,282.52017,398.14917,340.33466,399.34158
9592.989,284.175,397.6091,340.89203,398.79462
9699.514,285.80334,397.0363,341.4198,398.21713
9802.665,287.40244,396.4201,341.91125,397.5987
9902.726,288.95538,395.7631,342.35925,396.94168
10000.204,290.4626,395.06027,342.7614,396.2413
10095.423,291.92392,394.31155,343.11774,395.4973
10188.554,293.3386,393.51968,343.42914,394.7127
10279.827,294.70758,392.6863,343.69696,393.88882
10369.302,296.03052,391.8161,343.9233,393.03027
10457.123,297.3085,390.91156,344.11005,392.13943
10543.344,298.5419,389.97647,344.2592,391.22003
10627.953,299.73056,389.01596,344.37326,390.27692
10711.041,300.87567,388.0322,344.45392,389.31216
10792.576,301.97714,387.02966,344.50342,388.33023
10872.637,303.03613,386.01047,344.52332,387.33292
10951.233,304.0532,384.9775,344.51535,386.32306
11028.328,305.02814,383.93448,344.48132,385.30423
11103.999,305.96225,382.8827,344.4225,384.2776
11180.537,306.85046,381.8235,344.33698,383.24332
11255.394,307.69714,380.76038,344.22876,382.20593
11328.736,308.50293,379.6947,344.09882,381.16684
11400.693,309.26837,378.62817,343.94827,380.1276
11471.344,309.994,377.5624,343.7782,379.0897
11540.751,310.68054,376.49902,343.58978,378.05478
11608.963,311.32867,375.43942,343.38403,377.024
11676.017,311.93915,374.385,343.16208,375.99866
11741.9375,312.51282,373.33694,342.92487,374.98004
11806.762,313.05045,372.29642,342.67343,373.969
11870.511,313.55286,371.2644,342.40863,372.96664
11933.21,314.02094,370.24182,342.13138,371.9737
11994.89,314.45557,369.22964,341.8426,370.991
12055.57,314.85754,368.2285,341.54303,370.01926
12115.28,315.22778,367.23907,341.23343,369.0591
12174.046,315.56723,366.26193,340.91458,368.111
12231.891,315.8767,365.29773,340.58722,367.1755
12288.844,316.15723,364.34683,340.252,366.25293
12344.925,316.4096,363.4096,339.9096,365.34378
12400.164,316.63483,362.48642,339.5606,364.4482
12454.587,316.8338,361.57773,339.20575,363.5666
12508.199,317.00754,360.68347,338.84552,362.6991
12561.025,317.15686,359.80405,338.48047,361.8459
12613.098,317.28275,358.93948,338.1111,361.00705
12664.436,317.38605,358.08997,337.738,360.18265
12715.07,317.46762,357.25552,337.36157,359.37286
12765.021,317.52835,356.43628,336.9823,358.5776
12814.31,317.5691,355.63214,336.60062,357.79694
12862.959,317.59064,354.84317,336.21692,357.0308
12910.987,317.59396,354.06924,335.8316,356.27917
12958.42,317.5797,353.31042,335.44507,355.54205
13005.273,317.54874,352.56653,335.05762,354.81915
13051.566,317.50186,351.83746,334.66968,354.1106
13097.317,317.4398,351.12323,334.2815,353.4162
13142.548,317.36328,350.42358,333.89343,352.73575
13187.2705,317.27313,349.73843,333.5058,352.06924
13231.509,317.16992,349.06772,333.11884,351.41647
13275.272,317.05444,348.41113,332.7328,350.7773
13318.578,316.9273,347.7686,332.34796,350.15158
13361.444,316.78925,347.13995,331.9646,349.53915
13403.884,316.64084,346.52496,331.5829,348.93985
13445.912,316.48273,345.92355,331.20312,348.3535
13487.535,316.31546,345.33548,330.82547,347.77997
13528.775,316.13965,344.7606,330.45013,347.219
13569.638,315.95587,344.19867,330.07727,346.67053
13610.141,315.76468,343.64957,329.70712,346.13437
13650.288,315.56656,343.1132,329.33987,345.6103
13690.091,315.36206,342.5892,328.97565,345.09818
13729.565,315.15164,342.07748,328.61456,344.5979
13768.718,314.93576,341.5779,328.25684,344.1092
13807.553,314.71487,341.09024,327.90256,343.6319
13846.085,314.4896,340.61435,327.55197,343.166
13884.316,314.26013,340.15,327.20508,342.71115
13922.259,314.027,339.69714,326.86206,342.26733
13959.919,313.7906,339.25543,326.523,341.83432
13997.304,313.5513,338.82492,326.1881,341.41202
14034.413,313.3094,338.4053,325.85736,341.00024
14071.261,313.06537,337.99652,325.53094,340.59888
14107.849,312.81943,337.5983,325.20886,340.2077
14144.181,312.57208,337.21057,324.89133,339.82672
14180.262,312.32346,336.8332,324.5783,339.4557
14216.098,312.07394,336.46603,324.27,339.09448
14251.694,311.82382,336.1089,323.96637,338.74304
14287.047,311.57343,335.7617,323.66754,338.40115
14322.168,311.32288,335.4243,323.3736,338.0688
14357.056,311.07254,335.09656,323.08453,337.74576
14391.715,310.82272,334.77832,322.80054,337.43195
14426.147,310.57352,334.4695,322.5215,337.12726
14460.352,310.3252,334.17,322.24762,336.83167
14494.337,310.07797,333.87964,321.97882,336.5449
14528.097,309.8321,333.59836,321.7152,336.26697
14561.644,309.58774,333.326,321.45685,335.99774
14594.965,309.34506,333.0625,321.2038,335.7371
14628.073,309.10425,332.8077,320.956,335.48495
14660.963,308.86548,332.56152,320.7135,335.2412
14693.639,308.6289,332.32385,320.47638,335.0058
14726.098,308.3947,332.0946,320.24466,334.77856
14758.345,308.16302,331.87372,320.01837,334.55948
14790.378,307.934,331.661,319.7975,334.34836
