Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,193.17671,290.4267,219.57884,290.92322
296.9091,194.25208,292.46957,220.92401,293.0258
440.81818,195.33418,294.5192,222.27615,295.1358
584.7273,196.42247,296.57327,223.63416,297.25064
728.63635,197.51384,298.62723,224.99446,299.3655
872.5455,198.60521,300.6778,226.3539,301.477
1016.4545,199.69432,302.72305,227.71025,303.583
1160.3636,200.77956,304.76187,229.06203,305.6824
1304.2727,201.8599,306.79324,230.40816,307.77408
1448.1818,202.93452,308.81616,231.74782,309.85706
1592.091,204.00288,310.8295,233.08023,311.93008
1736.0,205.06433,312.8321,234.40465,313.99197
1879.909,206.1184,314.82275,235.72037,316.04156
2023.8182,207.16454,316.80035,237.02672,318.07764
2167.7273,208.2023,318.76392,238.32309,320.09915
2311.6365,209.23131,320.71243,239.6089,322.1051
2455.5454,210.25114,322.64508,240.8837,324.0947
2599.4546,211.26149,324.56107,242.14697,326.06708
2743.3635,212.26212,326.45978,243.39839,328.0216
2887.2727,213.25272,328.34055,244.63756,329.95755
3031.182,214.23312,330.2028,245.86417,331.8744
3175.0908,215.20467,332.0496,247.08005,333.7752
3319.0,216.16577,333.8769,248.28294,335.65588
3462.9092,217.11641,335.6846,249.47282,337.51627
3606.818,218.05655,337.47238,250.64955,339.35617
3750.7273,218.98608,339.24002,251.81297,341.1751
3894.6365,219.9049,340.9871,252.96295,342.9729
4038.5454,220.81296,342.71332,254.0993,344.74915
4182.4546,221.71011,344.4184,255.22191,346.5035
4326.364,222.59636,346.10208,256.3306,348.23572
4470.273,223.47156,347.76407,257.42532,349.9456
4614.1816,224.33568,349.40417,258.50592,351.63275
4758.091,225.18869,351.02216,259.5723,353.29706
4902.0,226.03055,352.6178,260.6244,354.9383
5045.909,226.86118,354.19092,261.6621,356.5563
5189.8184,227.6806,355.74142,262.68542,358.15088
5333.727,228.48877,357.26917,263.69424,359.72192
5477.636,229.28564,358.774,264.68848,361.26926
5621.5454,230.07123,360.2557,265.6682,362.79276
5765.4546,230.84555,361.7144,266.63327,364.2924
5909.364,231.60855,363.14987,267.58374,365.76807
6053.273,232.36024,364.5621,268.51956,367.2197
6197.1816,233.10066,365.95108,269.44073,368.64728
6341.091,233.82985,367.31674,270.3473,370.05084
6485.0,234.54776,368.6591,271.23923,371.4303
6628.909,235.25444,369.97824,272.11658,372.7857
6772.8184,235.94995,371.2741,272.97937,374.1171
6916.727,236.63431,372.54678,273.82764,375.42453
7060.636,237.30754,373.79642,274.66144,376.70813
7204.5454,237.96973,375.02295,275.48083,377.9679
7348.4546,238.62088,376.22653,276.2859,379.20395
7492.364,239.2611,377.4073,277.07666,380.41644
7636.273,239.89038,378.56537,277.8532,381.60544
7780.1816,240.50887,379.70087,278.6157,382.77115
7924.091,241.11655,380.81387,279.3641,383.91373
8068.0,241.71356,381.90472,280.09863,385.03333
8211.909,242.29996,382.97348,280.81934,386.13016
8355.818,242.87581,384.02032,281.52634,387.20438
8499.728,243.44121,385.0455,282.21976,388.25623
8643.637,243.99626,386.0492,282.89972,389.28595
8787.546,244.54102,387.03165,283.56635,390.2937
8931.454,245.07562,387.99304,284.2198,391.2798
9075.363,245.60016,388.93372,284.86014,392.24445
9219.272,246.11469,389.85382,285.4876,393.18796
9363.182,246.61935,390.75363,286.1023,394.1105
9507.091,247.11427,391.63345,286.70438,395.01245
9651.0,247.59952,392.4935,287.29395,395.89404
9794.909,248.07521,393.33414,287.87125,396.7556
9938.818,248.54149,394.15555,288.4364,397.59735
10082.728,248.99844,394.95804,288.9896,398.41965
10226.637,249.44621,395.7419,289.5309,399.22272
10370.546,249.88489,396.5075,290.0606,400.007
10514.454,250.31462,397.25504,290.57883,400.7727
10658.363,250.7355,397.98486,291.08572,401.52014
10802.272,251.14767,398.69727,291.5815,402.24963
10946.182,251.55125,399.3925,292.06628,402.96155
11090.091,251.94638,400.07098,292.5403,403.65613
11234.0,252.33313,400.73288,293.00375,404.3337
11377.909,252.7117,401.37863,293.45673,404.9946
11521.818,253.08217,402.00842,293.8994,405.6392
11665.728,253.44469,402.62268,294.33203,406.26773
11809.637,253.79936,403.22156,294.75476,406.88052
11953.546,254.14635,403.8055,295.16776,407.47794
12097.454,254.48573,404.37473,295.5712,408.0602
12241.363,254.81767,404.92963,295.96527,408.62772
12385.272,255.1423,405.47037,296.35013,409.1808
12529.182,255.45972,405.9973,296.72595,409.71964
12673.091,255.77007,406.51077,297.0929,410.24466
12817.0,256.07346,407.01102,297.45117,410.7561
12960.909,256.37003,407.49835,297.80093,411.25424
13104.818,256.6599,407.97305,298.1424,411.73947
13248.728,256.94318,408.43533,298.47562,412.21198
13392.637,257.22006,408.88562,298.80084,412.67206
13536.546,257.49057,409.32404,299.1182,413.12012
13680.454,257.75485,409.75092,299.4279,413.5563
13824.363,258.0131,410.1666,299.73,413.98093
13968.272,258.26535,410.57123,300.02484,414.39423
14112.182,258.51172,410.9651,300.31238,414.79657
14256.091,258.75235,411.3485,300.5929,415.18814
14400.0,258.98734,411.7217,300.86652,415.56918
