Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,202.563,292.72348,227.1423,293.21606
296.9091,203.42233,294.49734,228.25563,295.0437
440.81818,204.28615,296.30994,229.3827,296.91153
584.7273,205.15541,298.14413,230.51967,298.80176
728.63635,206.02756,299.98788,231.66138,300.70187
872.5455,206.9002,301.83524,232.80449,302.60574
1016.4545,207.77202,303.6842,233.94743,304.51123
1160.3636,208.64253,305.5343,235.08969,306.41776
1304.2727,209.51154,307.3852,236.23106,308.32498
1448.1818,210.37894,309.23618,237.37126,310.23224
1592.091,211.2445,311.0862,238.50986,312.13843
1736.0,212.10782,312.934,239.64612,314.04218
1879.909,212.96837,314.7781,240.77936,315.94208
2023.8182,213.82555,316.61722,241.90874,317.83667
2167.7273,214.67886,318.45,243.03354,319.72476
2311.6365,215.52776,320.2754,244.15306,321.6051
2455.5454,216.37173,322.0923,245.26666,323.4766
2599.4546,217.21036,323.8997,246.37375,325.33832
2743.3635,218.04327,325.69678,247.47383,327.18927
2887.2727,218.87013,327.48267,248.56636,329.02866
3031.182,219.69058,329.2566,249.65099,330.85568
3175.0908,220.50749,331.02118,250.73038,332.67294
3319.0,221.31769,332.77286,251.80135,334.47687
3462.9092,222.12115,334.51126,252.86375,336.267
3606.818,222.91785,336.23584,253.9174,338.04285
3750.7273,223.70757,337.94604,254.962,339.80383
3894.6365,224.49013,339.6413,255.99725,341.54932
4038.5454,225.26538,341.32098,257.0229,343.2787
4182.4546,226.03308,342.9846,258.0386,344.9914
4326.364,226.79309,344.63156,259.04413,346.6869
4470.273,227.54526,346.26138,260.0392,348.36465
4614.1816,228.28944,347.8736,261.02362,350.0242
4758.091,229.02548,349.4678,261.9971,351.66507
4902.0,229.75328,351.04352,262.9595,353.28683
5045.909,230.47269,352.60037,263.91058,354.88907
5189.8184,231.18361,354.13794,264.85022,356.47137
5333.727,231.88597,355.65598,265.77817,358.03345
5477.636,232.57964,357.154,266.6943,359.57486
5621.5454,233.26456,358.6318,267.5985,361.09534
5765.4546,233.94061,360.08905,268.49057,362.5945
5909.364,234.60779,361.52554,269.37042,364.07217
6053.273,235.266,362.94092,270.238,365.5281
6197.1816,235.9152,364.3351,271.09314,366.96204
6341.091,236.55537,365.7079,271.93576,368.37384
6485.0,237.18645,367.05908,272.7659,369.7633
6628.909,237.80843,368.38855,273.58337,371.1303
6772.8184,238.42128,369.69614,274.3882,372.47476
6916.727,239.02502,370.9819,275.1804,373.79657
7060.636,239.61963,372.24564,275.95987,375.0956
7204.5454,240.20508,373.48737,276.72662,376.37192
7348.4546,240.78143,374.70706,277.48065,377.6254
7492.364,241.3487,375.90475,278.22205,378.85617
7636.273,241.90685,377.0804,278.95074,380.06418
7780.1816,242.45598,378.2341,279.66678,381.24948
7924.091,242.99606,379.36588,280.37027,382.41214
8068.0,243.52719,380.47586,281.06122,383.55225
8211.909,244.0494,381.56418,281.7397,384.66992
8355.818,244.5627,382.63083,282.40576,385.76535
8499.728,245.06718,383.67606,283.05954,386.83856
8643.637,245.56291,384.69998,283.70102,387.8898
8787.546,246.04993,385.70276,284.3304,388.91922
8931.454,246.5283,386.6846,284.94775,389.927
9075.363,246.99814,387.64572,285.55313,390.91336
9219.272,247.45946,388.58624,286.1467,391.8785
9363.182,247.91235,389.50644,286.72858,392.8227
9507.091,248.35695,390.40656,287.29883,393.7461
9651.0,248.79326,391.2868,287.85764,394.64902
9794.909,249.22144,392.14743,288.40515,395.53174
9938.818,249.64153,392.98874,288.94147,396.39447
10082.728,250.05363,393.81094,289.4667,397.23755
10226.637,250.45784,394.61435,289.98105,398.06122
10370.546,250.85426,395.39917,290.48462,398.86578
10514.454,251.24298,396.16577,290.9776,399.65152
10658.363,251.6241,396.91446,291.4601,400.41882
10802.272,251.9977,397.64542,291.93228,401.16782
10946.182,252.36389,398.35898,292.39435,401.89896
11090.091,252.7228,399.05554,292.84637,402.61252
11234.0,253.07448,399.73523,293.28857,403.30878
11377.909,253.41907,400.3985,293.7211,403.98807
11521.818,253.75667,401.04562,294.14407,404.65076
11665.728,254.08736,401.67682,294.5577,405.29706
11809.637,254.4113,402.2925,294.96213,405.92737
11953.546,254.72852,402.89288,295.35748,406.542
12097.454,255.03915,403.47833,295.74396,407.1412
12241.363,255.34332,404.0491,296.1217,407.72534
12385.272,255.64111,404.60556,296.49088,408.29474
12529.182,255.93263,405.14792,296.85162,408.84964
12673.091,256.218,405.6765,297.20413,409.3904
12817.0,256.49728,406.19168,297.54852,409.91733
12960.909,256.77063,406.6936,297.88498,410.43076
13104.818,257.03812,407.18268,298.21362,410.93094
13248.728,257.29984,407.6592,298.53464,411.41815
13392.637,257.55588,408.12335,298.84818,411.8927
13536.546,257.8064,408.57544,299.15436,412.3549
13680.454,258.05142,409.01578,299.45334,412.805
13824.363,258.29114,409.44467,299.74527,413.24335
13968.272,258.52557,409.86227,300.03033,413.67014
14112.182,258.75485,410.26898,300.30862,414.0857
14256.091,258.97906,410.66492,300.5803,414.49023
14400.0,259.19827,411.05045,300.8455,414.8841
