Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
5167.972,118.99497,168.75504,143.875,170.12631
5306.0444,120.028404,170.17177,145.10008,171.52986
5443.112,121.1294,171.47008,146.29974,172.81505
5579.1914,122.27889,172.65437,147.46663,173.98001
5714.2188,123.4632,173.72752,148.59537,175.0273
5848.288,124.67067,174.69072,149.6807,175.95976
5981.3247,125.89327,175.54494,150.7191,176.78067
6113.421,127.12348,176.29,151.70674,177.49171
6244.576,128.35582,176.92563,152.64072,178.09409
6374.7197,129.58607,177.45233,153.5192,178.5893
6503.9478,130.80975,177.86981,154.33978,178.9775
6632.194,132.02394,178.17899,155.10147,179.2598
6759.5503,133.22519,178.37993,155.80255,179.43622
6886.027,134.41084,178.47366,156.44226,179.50764
7011.5625,135.57907,178.46194,157.02051,179.47572
7136.251,136.72725,178.34589,157.53656,179.34132
7260.0293,137.85402,178.12776,157.99089,179.10658
7382.99,138.9571,177.80927,158.38318,178.77293
7505.1406,140.03491,177.39278,158.71384,178.3427
7626.419,141.08632,176.88165,158.98398,177.81914
7746.9185,142.10965,176.27817,159.19391,177.2044
7867.1255,143.07349,175.64624,159.35986,176.55818
7986.528,144.00972,174.92755,159.46863,175.82622
8105.1636,144.91605,174.12871,159.52237,175.01506
8223.059,145.79065,173.25534,159.523,174.13036
8340.229,146.63206,172.31255,159.4723,173.17722
8456.686,147.43915,171.30504,159.3721,172.16032
8572.44,148.21094,170.23735,159.22415,171.08418
8687.502,148.94678,169.11392,159.03035,169.95317
8801.878,149.64606,167.9392,158.79263,168.77164
8915.578,150.30843,166.71756,158.513,167.54393
9028.607,150.93367,165.4535,158.19359,166.27441
9140.973,151.52167,164.15146,157.83656,164.96745
9252.679,152.07246,162.81589,157.44418,163.62744
9363.734,152.58621,161.45126,157.01874,162.25876
9474.139,153.0632,160.06203,156.56262,160.8658
9583.899,153.5038,158.65263,156.07822,159.45293
9693.018,153.90855,157.22745,155.568,158.02441
9801.5,154.27805,155.79082,155.03442,156.58456
9909.343,154.61302,154.34702,154.48001,155.13756
10016.555,154.91428,152.90019,153.90723,153.68752
10123.132,155.18274,151.45453,153.31863,152.23848
10229.073,155.41978,150.01347,152.71663,150.79393
10334.38,155.62643,148.58109,152.10376,149.3578
10439.052,155.80379,147.16115,151.48247,147.93384
10543.086,155.95312,145.7573,150.85521,146.5256
10646.485,156.07571,144.37305,150.22438,145.13652
10749.245,156.17293,143.01175,149.59235,143.76991
10851.364,156.24622,141.67659,148.9614,142.42886
10952.841,156.2971,140.37062,148.33386,141.1164
11053.67,156.32709,139.0967,147.71188,139.83533
11153.85,156.33777,137.85756,147.09766,138.58835
11253.374,156.33076,136.65575,146.49326,137.37793
11352.237,156.30766,135.49364,145.90065,136.20647
11450.441,156.27017,134.37346,145.32181,135.07613
11547.969,156.21992,133.29727,144.7586,133.98895
11644.822,156.15854,132.26692,144.21274,132.94681
11740.99,156.08775,131.28415,143.68594,131.95142
11836.468,156.00917,130.35051,143.17984,131.0043
11931.246,155.92444,129.4674,142.69592,130.10687
12025.321,155.83516,128.63606,142.23561,129.26042
12118.678,155.74294,127.85755,141.80025,128.466
12211.315,155.6493,127.132805,141.39105,127.724556
12303.221,155.55582,126.4626,141.00922,127.03691
12394.383,155.46393,125.84759,140.65576,126.40374
12484.799,155.37509,125.28823,140.33167,125.82559
12574.458,155.2907,124.78496,140.03783,125.30286
12663.348,155.21207,124.33796,139.77501,124.83581
12751.458,155.1405,123.94736,139.54393,124.42465
12838.79,155.07722,123.61319,139.34521,124.06941
12925.321,155.02344,123.33529,139.17937,123.77005
13011.05,154.98021,123.11349,139.04684,123.52641
13095.968,154.94862,122.94744,138.94803,123.338234
13180.0625,154.92964,122.83674,138.8832,123.205154
13263.328,154.92422,122.780914,138.85257,123.12678
13345.758,154.9332,122.77936,138.85628,123.10257
13427.344,154.9574,122.83145,138.89442,123.13196
13508.077,154.99751,122.936424,138.96696,123.21423
13587.95,155.05428,123.093506,139.07388,123.348724
13666.958,155.12823,123.30183,139.21503,123.5346
13745.096,155.21999,123.56055,139.39026,123.77109
13822.355,155.33,123.868645,139.59932,124.05721
13898.7295,155.4587,124.22514,139.84192,124.39209
13974.22,155.60645,124.629005,140.11772,124.77471
14048.816,155.77357,125.07915,140.42636,125.20408
14122.522,155.96036,125.57449,140.76743,125.679146
14195.326,156.16698,126.11387,141.14043,126.198784
14267.233,156.3936,126.696175,141.54489,126.76197
14338.234,156.64035,127.32022,141.98029,127.36752
14408.335,156.90724,127.98478,142.44601,128.01431
14477.53,157.19435,128.68874,142.94154,128.7012
14545.822,157.50165,129.43085,143.46625,129.42703
14613.209,157.82903,130.20988,144.01945,130.19058
14679.691,158.17644,131.02464,144.60054,130.99069
14745.2705,158.54372,131.87395,145.20883,131.82622
14809.947,158.9307,132.75658,145.84363,132.69592
14873.729,159.33719,133.67131,146.50424,133.59866
14936.611,159.76297,134.61697,147.18997,134.53326
14998.603,160.20776,135.59238,147.90007,135.49854
15059.704,160.67134,136.59637,148.63385,136.49336
