Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,222.7012,315.2613,248.17676,316.5802
296.9091,223.3105,316.79492,249.04039,318.16055
440.81818,223.89218,318.36316,249.8928,319.77695
584.7273,224.45714,319.94614,250.7368,321.40857
728.63635,225.01007,321.53137,251.57248,323.04245
872.5455,225.55385,323.11337,252.40051,324.67294
1016.4545,226.09067,324.69077,253.22212,326.29846
1160.3636,226.62227,326.26334,254.03856,327.91885
1304.2727,227.14989,327.83102,254.8507,329.53403
1448.1818,227.67421,329.39334,255.65892,331.14346
1592.091,228.19556,330.94943,256.4632,332.7463
1736.0,228.71387,332.49826,257.26324,334.34152
1879.909,229.22897,334.03876,258.05865,335.92804
2023.8182,229.7407,335.57007,258.849,337.5049
2167.7273,230.24875,337.0913,259.6339,339.0713
2311.6365,230.75299,338.6018,260.4131,340.62646
2455.5454,231.25328,340.10095,261.18625,342.16977
2599.4546,231.74951,341.58813,261.95312,343.70065
2743.3635,232.24162,343.06287,262.71362,345.21857
2887.2727,232.72955,344.52472,263.46747,346.72305
3031.182,233.21333,345.97327,264.2146,348.2137
3175.0908,233.69601,347.40326,264.95593,349.6852
3319.0,234.17448,348.81998,265.69046,351.14285
3462.9092,234.64894,350.22263,266.41827,352.58585
3606.818,235.11948,351.6106,267.13916,354.0136
3750.7273,235.5861,352.98346,267.85306,355.42566
3894.6365,236.04886,354.34088,268.55988,356.82166
4038.5454,236.50772,355.6826,269.25952,358.20132
4182.4546,236.96268,357.00815,269.95193,359.56427
4326.364,237.41374,358.3175,270.6371,360.9103
4470.273,237.86092,359.61035,271.31485,362.23923
4614.1816,238.3042,360.8865,271.9852,363.5508
4758.091,238.74362,362.14587,272.64813,364.84497
4902.0,239.17915,363.38828,273.3036,366.12155
5045.909,239.61082,364.61365,273.9516,367.3804
5189.8184,240.03864,365.82178,274.59207,368.62146
5333.727,240.46262,367.01273,275.225,369.84457
5477.636,240.88274,368.18634,275.85043,371.0498
5621.5454,241.29903,369.34265,276.46835,372.23703
5765.4546,241.7115,370.48154,277.07874,373.40628
5909.364,242.12018,371.60306,277.68155,374.5575
6053.273,242.52502,372.7072,278.27686,375.6907
6197.1816,242.92606,373.7941,278.8647,376.806
6341.091,243.32329,374.86362,279.445,377.90335
6485.0,243.71672,375.9159,280.01785,378.98282
6628.909,244.10635,376.95096,280.58325,380.04446
6772.8184,244.49222,377.96887,281.1412,381.0884
6916.727,244.87427,378.9698,281.69177,382.11472
7060.636,245.25255,379.95377,282.23492,383.1235
7204.5454,245.62701,380.9208,282.77078,384.11484
7348.4546,245.99771,381.8712,283.29926,385.08884
7492.364,246.36462,382.8049,283.82047,386.0457
7636.273,246.72772,383.72217,284.33444,386.9855
7780.1816,247.08704,384.62305,284.84116,387.9084
7924.091,247.44257,385.50772,285.34076,388.81454
8068.0,247.79425,386.37628,285.83313,389.70407
8211.909,248.14215,387.22897,286.31845,390.5772
8355.818,248.48627,388.0659,286.79672,391.43408
8499.728,248.82652,388.8872,287.26794,392.2748
8643.637,249.16296,389.69308,287.73218,393.09967
8787.546,249.49559,390.48373,288.1895,393.9088
8931.454,249.8244,391.2593,288.63995,394.70236
9075.363,250.14935,392.01996,289.08353,395.48053
9219.272,250.47046,392.76593,289.5203,396.2436
9363.182,250.78772,393.4973,289.95035,396.99164
9507.091,251.10118,394.21436,290.3737,397.72488
9651.0,251.41074,394.9172,290.79037,398.4436
9794.909,251.71648,395.6061,291.20047,399.1479
9938.818,252.01834,396.28122,291.604,399.838
10082.728,252.31638,396.94275,292.00104,400.51413
10226.637,252.61055,397.59085,292.39163,401.17648
10370.546,252.90086,398.22577,292.77585,401.82523
10514.454,253.18735,398.8477,293.1537,402.46063
10658.363,253.46997,399.45673,293.5253,403.08282
10802.272,253.74876,400.05316,293.89066,403.69205
10946.182,254.02371,400.6372,294.24988,404.2885
11090.091,254.29485,401.209,294.60294,404.87234
11234.0,254.56216,401.76874,294.94998,405.44394
11377.909,254.82567,402.31662,295.29105,406.00327
11521.818,255.08536,402.85287,295.62613,406.55066
11665.728,255.3413,403.37762,295.95538,407.08627
11809.637,255.59344,403.89108,296.27884,407.6103
11953.546,255.84183,404.39355,296.59653,408.12302
12097.454,256.08646,404.88504,296.90854,408.6245
12241.363,256.32736,405.36584,297.2149,409.11508
12385.272,256.56454,405.8361,297.51572,409.5948
12529.182,256.79807,406.29608,297.81107,410.064
12673.091,257.0279,406.74585,298.10098,410.5227
12817.0,257.2541,407.1857,298.38553,410.97125
12960.909,257.47665,407.6157,298.66473,411.4098
13104.818,257.6956,408.0361,298.93875,411.83847
13248.728,257.91098,408.44714,299.20758,412.25748
13392.637,258.1228,408.84888,299.4713,412.66705
13536.546,258.33112,409.24152,299.73,413.06726
13680.454,258.5359,409.62524,299.98376,413.45844
13824.363,258.7372,410.00027,300.23257,413.84064
13968.272,258.93512,410.36673,300.47656,414.21405
14112.182,259.12958,410.72473,300.71582,414.5789
14256.091,259.32068,411.07455,300.95035,414.93527
14400.0,259.5084,411.41626,301.18024,415.28345
