Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
9556.912,416.9925,487.25262,452.12256,488.02362
9654.79,417.2062,486.64185,451.924,487.3681
9733.12,416.95987,485.66702,451.31345,486.3321
9799.682,416.39377,484.43665,450.41522,485.04462
9858.953,415.6044,483.0262,449.3153,483.59323
9913.606,414.66272,481.49454,448.0786,482.03928
9965.388,413.62057,479.88574,446.75317,480.4243
10015.333,412.5155,478.2325,445.37402,478.77795
10064.003,411.37418,476.5591,443.96664,477.12073
10111.859,410.2156,474.88214,442.5489,475.46637
10159.074,409.05322,473.21417,441.1337,473.82523
10205.862,407.8963,471.56366,439.72998,472.2036
10252.3125,406.75125,469.93646,438.34387,470.60648
10298.417,405.6223,468.33746,436.9799,469.03772
10344.289,404.5127,466.7696,435.64114,467.4995
10389.881,403.42426,465.23523,434.32974,465.99402
10435.282,402.3586,463.736,433.0473,464.52252
10480.482,401.3166,462.27246,431.79453,463.0856
10525.409,400.29883,460.84583,430.57233,461.68396
10570.114,399.30594,459.45514,429.38055,460.31686
10614.491,398.33783,458.0993,428.21857,458.98334
10657.022,397.4596,456.68893,427.07428,457.59732
10699.384,396.58218,455.30197,425.94208,456.23526
10741.573,395.71094,453.9369,424.8239,454.8954
10783.566,394.8492,452.59225,423.72073,453.5759
10825.337,393.99905,451.26678,422.63293,452.2755
10866.854,393.16162,449.95956,421.5606,450.9931
10908.104,392.33728,448.66983,420.50354,449.72778
10949.061,391.52612,447.39673,419.46143,448.47894
10989.725,390.7281,446.13974,418.4339,447.24573
11030.085,389.9427,444.89822,417.42047,446.02768
11070.145,389.1696,443.67184,416.42072,444.82452
11109.896,388.40836,442.45996,415.43414,443.6357
11149.345,387.65842,441.26236,414.4604,442.4609
11188.495,386.9193,440.0787,413.49902,441.2998
11227.35,386.19064,438.90857,412.54962,440.1521
11265.909,385.47202,437.75183,411.61194,439.01755
11304.184,384.76282,436.60797,410.6854,437.89587
11342.177,384.06287,435.47696,409.7699,436.78677
11379.893,383.37164,434.35855,408.8651,435.69003
11417.34,382.68896,433.25247,407.9707,434.60544
11454.522,382.01434,432.15863,407.0865,433.53293
11491.4795,381.34674,431.0771,406.2119,432.47256
11528.205,380.6862,430.0076,405.3469,431.424
11564.696,380.03253,428.94992,404.4912,430.38696
11600.955,379.3855,427.90387,403.64468,429.36124
11636.984,378.7449,426.8691,402.807,428.3467
11672.789,378.11063,425.84546,401.97803,427.3431
11708.37,377.48224,424.83292,401.1576,426.3503
11743.736,376.85977,423.8312,400.3455,425.36816
11778.889,376.24283,422.84012,399.54147,424.39658
11813.833,375.63132,421.85968,398.74548,423.43515
11848.573,375.02502,420.88953,397.95728,422.48395
11883.116,374.42377,419.92972,397.17676,421.5428
11917.467,373.8274,418.97995,396.4037,420.6116
11951.626,373.23572,418.0402,395.63794,419.6901
11985.602,372.64868,417.11023,394.87946,418.77823
12019.396,372.06595,416.18994,394.12793,417.87585
12053.017,371.48758,415.2794,393.38348,416.98288
12086.461,370.91336,414.37823,392.6458,416.09918
12119.739,370.3432,413.48645,391.91483,415.2246
12152.852,369.777,412.60385,391.19043,414.359
12185.807,369.21466,411.7304,390.47253,413.5024
12218.604,368.65607,410.86603,389.76105,412.6546
12251.245,368.10117,410.0105,389.05585,411.81546
12283.737,367.5498,409.16385,388.3568,410.98492
12316.086,367.002,408.32587,387.66394,410.1629
12348.287,366.4576,407.4964,386.977,409.34927
12380.351,365.9166,406.67563,386.2961,408.54395
12412.277,365.37885,405.86316,385.621,407.74686
12444.067,364.8444,405.05896,384.95166,406.95786
12475.731,364.31317,404.26306,384.28812,406.17694
12507.267,363.78503,403.4753,383.6302,405.40393
12538.676,363.25992,402.6956,382.97775,404.63876
12569.964,362.73788,401.92398,382.33093,403.8814
12601.131,362.21893,401.16016,381.68954,403.13177
12632.184,361.70285,400.40408,381.05347,402.38968
12663.122,361.1897,399.6559,380.4228,401.65518
12693.946,360.67953,398.91534,379.79742,400.92822
12724.663,360.17212,398.18243,379.17728,400.20868
12755.274,359.6676,397.457,378.56232,399.49646
12785.78,359.16586,396.73904,377.95245,398.7915
12816.182,358.66702,396.02853,377.34778,398.09372
12846.485,358.1709,395.32526,376.74808,397.4031
12876.685,357.67746,394.6293,376.15338,396.71957
12906.792,357.1868,393.94055,375.56366,396.04306
12936.801,356.69897,393.25888,374.97894,395.37347
12966.716,356.2138,392.58438,374.3991,394.71085
12996.541,355.73132,391.91687,373.8241,394.05505
13026.272,355.25153,391.25638,373.25397,393.40607
13055.917,354.77444,390.60275,372.6886,392.76376
13085.475,354.30002,389.95602,372.12802,392.12827
13114.944,353.8283,389.31613,371.5722,391.49933
13144.332,353.3593,388.683,371.02118,390.87698
13173.633,352.89288,388.05652,370.4747,390.26117
13202.851,352.4292,387.4368,369.93298,389.6519
13231.982,351.9682,386.8236,369.3959,389.04907
13261.043,351.50986,386.21704,368.86346,388.45267
13290.014,351.05426,385.61713,368.3357,387.8626
13318.91,350.60123,385.02356,367.81238,387.27887
