Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
13508.626,177.44887,193.43118,185.44003,193.91637
13622.948,178.16216,193.43694,185.79955,193.95406
13725.624,178.89828,193.27751,186.08789,193.8256
13820.1875,179.64987,193.02185,186.33586,193.5887
13909.122,180.41068,192.71881,186.56474,193.29208
13993.836,181.1751,192.40054,186.78781,192.97258
14075.354,181.93855,192.088,187.01328,192.65608
14154.28,182.69705,191.79451,187.24579,192.3597
14230.904,183.44743,191.52812,187.48778,192.09407
14305.576,184.18738,191.29395,187.74066,191.86533
14378.379,184.9151,191.09476,188.00493,191.6765
14449.529,185.62956,190.93239,188.28098,191.52885
14519.108,186.33018,190.80751,188.56885,191.42236
14587.097,187.01671,190.72034,188.86853,191.35635
14653.634,187.68944,190.67085,189.18015,191.32991
14718.668,188.34862,190.65846,189.50354,191.34174
14782.333,188.99481,190.68294,189.83887,191.39082
14844.64,189.62866,190.74348,190.18607,191.47592
14905.53,190.25095,190.83891,190.54492,191.59563
14965.111,190.86221,190.96864,190.91544,191.74896
15023.315,191.46346,191.13098,191.29721,191.93428
15085.179,191.99881,191.3925,191.69565,192.2046
15145.443,192.53345,191.68228,192.10786,192.50334
15204.372,193.0663,192.00285,192.53458,192.83273
15262.124,193.59686,192.35535,192.9761,193.19392
15318.811,194.12497,192.74008,193.43253,193.58719
15374.496,194.6507,193.15674,193.90372,194.0123
15429.237,195.17433,193.60483,194.38959,194.46866
15483.064,195.69623,194.08354,194.8899,194.95549
15536.011,196.21696,194.59201,195.40448,195.47191
15588.097,196.737,195.1294,195.9332,196.01698
15639.34,197.25694,195.69473,196.47583,196.58977
15689.76,197.7773,196.2871,197.0322,197.18929
15739.364,198.29858,196.90553,197.60205,197.81459
15788.173,198.82126,197.54907,198.18517,198.46474
15836.197,199.34587,198.21678,198.78133,199.13882
15883.447,199.87279,198.90779,199.39029,199.83595
15929.932,200.40242,199.62114,200.01178,200.55524
15975.669,200.93506,200.3559,200.64548,201.29582
16020.662,201.47112,201.11125,201.29118,202.05682
16064.921,202.0108,201.88628,201.94855,202.83743
16108.457,202.55438,202.68015,202.61726,203.63683
16151.237,203.10254,203.4914,203.29697,204.45372
16193.269,203.6554,204.3194,203.9874,205.28748
16234.573,204.21295,205.16333,204.68814,206.13727
16275.166,204.77536,206.02252,205.39894,207.00244
16315.049,205.34254,206.89615,206.11935,207.8822
16354.235,205.91467,207.78355,206.84912,208.77585
16392.738,206.49174,208.68391,207.58783,209.68268
16430.56,207.07375,209.5966,208.33517,210.60197
16467.71,207.66072,210.52087,209.09079,211.53307
16504.201,208.25266,211.4561,209.85437,212.47525
16540.031,208.8495,212.40161,210.62555,213.42792
16575.219,209.45119,213.35678,211.40399,214.39049
16609.766,210.05768,214.32098,212.18933,215.36226
16643.684,210.66893,215.29366,212.9813,216.34276
16676.973,211.28482,216.27417,213.7795,217.33128
16709.646,211.90526,217.26201,214.58363,218.32738
16741.71,212.53015,218.25664,215.3934,219.33046
16773.174,213.15938,219.25748,216.20844,220.34009
16804.041,213.79283,220.26414,217.02849,221.35564
16834.318,214.43037,221.27602,217.8532,222.37666
16864.021,215.07185,222.2927,218.68228,223.40276
16893.15,215.71715,223.31372,219.51544,224.43335
16921.715,216.36612,224.33864,220.35239,225.46812
16949.72,217.01857,225.36705,221.19281,226.50659
16977.176,217.67442,226.39857,222.0365,227.54834
17004.092,218.33345,227.43277,222.88312,228.593
17030.473,218.99553,228.46927,223.73239,229.64012
17056.322,219.6605,229.5077,224.5841,230.68942
17081.65,220.3282,230.54778,225.43799,231.74048
17106.467,220.99847,231.58907,226.29376,232.793
17130.771,221.67114,232.63132,227.15123,233.84662
17154.582,222.34605,233.6742,228.01013,234.901
17177.89,223.02307,234.71738,228.87022,235.95589
17200.72,223.70201,235.76057,229.7313,237.01096
17223.066,224.38269,236.80354,230.59311,238.06587
17244.94,225.065,237.84602,231.4555,239.12048
17266.344,225.7488,238.88766,232.31824,240.1744
17287.293,226.43385,239.92833,233.18109,241.22743
17307.783,227.12003,240.96774,234.04388,242.27933
17327.83,227.80725,242.00562,234.90643,243.32983
17347.436,228.49532,243.04187,235.76859,244.37874
17366.604,229.18407,244.07617,236.63013,245.42581
17385.344,229.87337,245.1084,237.49088,246.47087
17403.662,230.56308,246.13828,238.35068,247.5137
17421.568,231.2531,247.1657,239.2094,248.55414
17439.059,231.94324,248.19046,240.06685,249.59195
17456.145,232.63339,249.21236,240.92288,250.62698
17472.836,233.32343,250.23125,241.77734,251.65906
17489.135,234.0132,251.24706,242.63013,252.68803
17505.049,234.7026,252.25957,243.48108,253.71376
17520.58,235.39148,253.26859,244.33003,254.73607
17535.734,236.07979,254.2741,245.17694,255.75484
17550.52,236.76735,255.27586,246.0216,256.76987
17564.943,237.45406,256.27386,246.86395,257.78116
17579.006,238.13985,257.26785,247.70386,258.78848
17592.713,238.82452,258.2578,248.54117,259.79178
17606.078,239.5081,259.24368,249.37589,260.7909
17619.096,240.19035,260.22525,250.2078,261.78574
