Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
3369.2026,204.90852,247.14653,226.02753,250.71536
3504.8376,205.44435,248.8446,227.14447,252.35722
3633.9863,205.9965,250.52296,228.25974,253.9812
3758.7554,206.56316,252.17317,229.36816,255.57574
3880.4678,207.14406,253.78879,230.46643,257.1338
3999.9207,207.73997,255.36467,231.55232,258.65082
4117.78,208.34978,256.89688,232.62332,260.1238
4234.347,208.97395,258.3821,233.67804,261.5503
4349.9595,209.61125,259.81747,234.71436,262.92813
4464.779,210.26118,261.20062,235.7309,264.2555
4578.831,210.92393,262.52954,236.72675,265.53082
4692.27,211.59798,263.80258,237.70029,266.75253
4805.055,212.2835,265.01813,238.65082,267.91925
4917.2896,212.9789,266.17487,239.57687,269.02942
5028.9775,213.6834,267.27148,240.47745,270.08176
5140.042,214.39685,268.3073,241.35208,271.07553
5250.557,215.11774,269.28098,242.19936,272.0091
5360.4404,215.84576,270.19202,243.01889,272.8821
5469.7563,216.57927,271.0394,243.80933,273.6932
5578.4883,217.31735,271.82233,244.56984,274.4416
5686.546,218.05963,272.54047,245.30005,275.12686
5796.0522,218.7993,273.17935,245.98932,275.73367
5904.6304,219.53963,273.75497,246.64731,276.27872
6012.4155,220.27936,274.26553,247.27245,276.76013
6119.4893,221.01712,274.71005,247.86359,277.17688
6225.8984,221.75165,275.08804,248.41985,277.5285
6331.666,222.48172,275.39932,248.94052,277.81476
6436.804,223.2061,275.64392,249.42502,278.03574
6541.3184,223.92358,275.82224,249.87291,278.1918
6645.204,224.63301,275.9347,250.28384,278.28336
6748.4585,225.33322,275.9818,250.65752,278.31097
6851.0767,226.02307,275.9644,250.99373,278.27536
6953.0527,226.70146,275.88318,251.29233,278.17737
7054.3823,227.3673,275.73907,251.55319,278.01782
7155.0605,228.01945,275.5332,251.77634,277.79782
7255.082,228.65698,275.26654,251.96176,277.5184
7354.444,229.27882,274.94037,252.10959,277.1808
7453.1426,229.88393,274.55594,252.21994,276.7863
7551.181,230.4714,274.11462,252.29301,276.33615
7648.551,231.0403,273.61792,252.3291,275.83185
7745.2573,231.58978,273.06723,252.3285,275.2749
7841.3,232.11894,272.4643,252.29163,274.66687
7936.6577,232.62704,271.81067,252.21886,274.0094
8031.3403,233.11331,271.10806,252.11069,273.30408
8125.352,233.57706,270.3582,251.96762,272.55267
8218.701,234.01756,269.56277,251.79016,271.75687
8311.386,234.43417,268.7237,251.57893,270.91843
8403.417,234.82635,267.84277,251.33456,270.03918
8494.8,235.19359,266.9219,251.05774,269.12097
8585.537,235.53534,265.963,250.74918,268.16565
8675.637,235.85121,264.96793,250.40958,267.17508
8765.105,236.14081,263.93866,250.03973,266.15115
8853.951,236.40381,262.8771,249.64046,265.0957
8942.184,236.63991,261.7852,249.21255,264.0107
9029.811,236.84895,260.6649,248.75693,262.89792
9116.841,237.03067,259.51813,248.2744,261.7593
9203.287,237.185,258.3468,247.7659,260.59674
9289.157,237.31186,257.1529,247.23238,259.4121
9374.461,237.41125,255.93819,246.67471,258.20712
9459.213,237.48318,254.7047,246.09393,256.98373
9543.425,237.52777,253.45421,245.491,255.74367
9627.106,237.54504,252.18855,244.86679,254.48875
9710.271,237.53534,250.9096,244.22247,253.22069
9792.936,237.49881,249.61908,243.55894,251.94125
9875.1045,237.4357,248.31877,242.87723,250.6521
9956.8,237.3464,247.01042,242.1784,249.35493
10038.031,237.2313,245.69568,241.46349,248.05136
10118.808,237.0907,244.37624,240.73346,246.74295
10199.15,236.9252,243.0537,239.98944,245.43134
10279.068,236.73518,241.72966,239.23242,244.11803
10358.574,236.52127,240.4057,238.46349,242.80449
10437.684,236.284,239.08328,237.68364,241.49222
10516.407,236.024,237.76392,236.89395,240.18263
10594.76,235.7419,236.44904,236.09546,238.87709
10672.752,235.43839,235.14001,235.2892,237.57695
10750.3955,235.11421,233.83823,234.47623,236.28357
10827.707,234.77008,232.545,233.65753,234.9982
10904.691,234.40674,231.26164,232.8342,233.72205
10981.363,234.02507,229.98933,232.0072,232.45636
11057.733,233.62582,228.72932,231.17758,231.20229
11133.811,233.20987,227.48277,230.34631,229.96098
11209.605,232.77808,226.25081,229.51443,228.73354
11285.124,232.3313,225.03455,228.68292,227.52098
11360.377,231.87047,223.83498,227.85272,226.32437
11435.371,231.3965,222.65312,227.02481,225.1447
11510.114,230.91031,221.49002,226.20016,223.98291
11584.61,230.41283,220.34654,225.37968,222.83994
11658.867,229.90498,219.22366,224.56433,221.71664
11732.886,229.38776,218.12218,223.75497,220.61395
11806.678,228.86212,217.04303,222.95258,219.5326
11880.237,228.32901,215.98686,222.15793,218.4734
11953.572,227.78941,214.95456,221.37198,217.43716
12026.685,227.24428,213.94676,220.59552,216.42458
12099.571,226.69458,212.9642,219.82939,215.43631
12172.235,226.14124,212.00758,219.0744,214.47307
12244.676,225.58527,211.07742,218.33134,213.53546
12316.89,225.02759,210.1744,217.60098,212.62408
12388.871,224.46913,209.29903,216.88408,211.73949
12460.631,223.9108,208.45183,216.1813,210.88223
12532.148,223.35358,207.63326,215.49341,210.0528
