Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
11505.131,305.85828,391.4725,348.6654,392.80994
11617.676,307.08377,390.93842,349.0111,392.30478
11716.223,308.20627,390.19705,349.20166,391.5898
11805.426,309.24637,389.31183,349.2791,390.72565
11888.079,310.2175,388.33063,349.27405,389.76172
11966.044,311.12994,387.28632,349.20813,388.7331
12040.442,311.9903,386.20258,349.09644,387.66574
12111.931,312.80286,385.0971,348.94998,386.57843
12181.03,313.57153,383.9803,348.7759,385.48273
12247.981,314.29837,382.86145,348.5799,384.38776
12313.064,314.9854,381.74585,348.36563,383.29883
12376.421,315.63394,380.63803,348.136,382.21997
12438.107,316.24503,379.54175,347.89337,381.1548
12498.272,316.82004,378.459,347.63953,380.10434
12556.918,317.36008,377.39233,347.37622,379.0711
12614.169,317.8665,376.34268,347.10458,378.0552
12670.072,318.3404,375.31116,346.82578,377.05774
12724.6045,318.78278,374.29935,346.54108,376.07983
12777.87,319.1952,373.30704,346.2511,375.1211
12829.845,319.5784,372.33508,345.95673,374.18213
12880.63,319.934,371.38275,345.6584,373.26196
12933.891,320.22333,370.45612,345.33972,372.36423
12985.68,320.4871,369.5463,345.0167,371.48285
13036.25,320.72552,368.65414,344.68982,370.6188
13085.763,320.93896,367.78036,344.35968,369.7725
13134.323,321.12784,366.92502,344.02643,368.9441
13182.011,321.29285,366.08817,343.6905,368.13373
13228.879,321.4346,365.26978,343.35217,367.34116
13274.98,321.55396,364.46973,343.01184,366.5663
13320.346,321.65173,363.68774,342.66974,365.80905
13365.015,321.72885,362.92377,342.3263,365.069
13409.014,321.7861,362.17743,341.98175,364.346
13452.374,321.82437,361.44864,341.6365,363.6398
13495.117,321.84467,360.73703,341.29083,362.95007
13537.27,321.84772,360.04236,340.94504,362.27667
13578.855,321.83447,359.36438,340.59943,361.6192
13619.897,321.8057,358.7028,340.25424,360.97745
13660.418,321.76224,358.05743,339.90985,360.35114
13700.434,321.70486,357.42792,339.5664,359.74
13739.969,321.6343,356.8139,339.22412,359.14377
13779.042,321.5514,356.21524,338.8833,358.56213
13817.665,321.4568,355.63162,338.5442,357.9949
13855.821,321.35153,355.06247,338.207,357.4416
13893.531,321.23627,354.5077,337.87198,356.9019
13930.815,321.11163,353.9668,337.5392,356.37567
13967.693,320.97806,353.43964,337.20886,355.86252
14004.178,320.8363,352.926,336.88116,355.36234
14040.279,320.6868,352.4254,336.5561,354.87466
14076.02,320.53015,351.93777,336.23395,354.39944
14111.403,320.36688,351.4628,335.91486,353.93625
14146.442,320.19754,351.00012,335.59882,353.48492
14181.15,320.02255,350.54956,335.28607,353.04526
14215.533,319.8425,350.1109,334.97668,352.61694
14249.599,319.6577,349.6838,334.67078,352.19974
14283.357,319.46872,349.26807,334.3684,351.79346
14316.82,319.27588,348.86353,334.0697,351.3979
14349.991,319.07965,348.46982,333.77472,351.01282
14382.876,318.88034,348.08685,333.48358,350.638
14415.483,318.6784,347.71426,333.19635,350.27325
14447.823,318.47415,347.35202,332.9131,349.9184
14479.8955,318.26794,346.99985,332.6339,349.5732
14511.706,318.06003,346.65747,332.35876,349.2376
14543.265,317.85083,346.3248,332.08783,348.9113
14574.566,317.6405,346.0016,331.82104,348.5941
14605.629,317.42944,345.68774,331.5586,348.28598
14636.45,317.2178,345.38297,331.30038,347.98666
14667.037,317.00595,345.0872,331.04657,347.69595
14697.388,316.79404,344.8003,330.79718,347.41385
14727.505,316.58234,344.52194,330.55212,347.1401
14757.398,316.37103,344.25217,330.31158,346.87457
14787.069,316.1603,343.99063,330.07547,346.6172
14816.514,315.95056,343.73737,329.84396,346.3677
14845.74,315.7417,343.4922,329.61694,346.1261
14874.752,315.53403,343.2549,329.39447,345.8922
14903.546,315.3278,343.02545,329.17664,345.66586
14932.13,315.123,342.80368,328.96332,345.447
14960.496,314.91986,342.58945,328.75464,345.23547
14988.657,314.71854,342.3826,328.55057,345.03122
15016.606,314.51913,342.1831,328.35114,344.8341
15044.349,314.3218,341.99078,328.1563,344.64392
15071.881,314.12668,341.80557,327.96613,344.46075
15099.21,313.93384,341.62732,327.78058,344.2844
15126.333,313.7434,341.456,327.5997,344.11472
15153.252,313.55548,341.29135,327.4234,343.9517
15179.966,313.37012,341.13345,327.25177,343.79523
15206.478,313.18747,340.9821,327.08478,343.6451
15232.785,313.0076,340.83722,326.92242,343.50143
15258.89,312.83057,340.69867,326.76462,343.36392
15284.791,312.65643,340.56653,326.61148,343.23267
15310.492,312.4853,340.44046,326.4629,343.10745
15335.985,312.31714,340.3206,326.31885,342.98822
15361.283,312.1522,340.2067,326.17944,342.87497
15386.377,311.9903,340.0988,326.04456,342.76755
15411.266,311.83167,339.99673,325.91418,342.66592
15435.954,311.6762,339.90042,325.78833,342.56992
15460.439,311.52408,339.80984,325.66696,342.47958
15484.728,311.37527,339.72482,325.55005,342.39468
15508.809,311.22977,339.6454,325.43756,342.31537
15532.6875,311.0877,339.57135,325.32953,342.2413
15556.364,310.949,339.50278,325.2259,342.17267
