Time (s),T_min (C),T_max (C),T_ave (C),Thermal Input (C)
8431.093,409.68497,487.5134,448.59918,488.27298
8534.397,409.93396,487.0729,448.50342,487.7648
8622.047,409.74924,486.2223,447.98578,486.8355
8700.495,409.26138,485.08328,447.17233,485.6264
8773.192,408.56265,483.7429,446.15277,484.23535
8842.34,407.72104,482.26697,444.99402,482.72913
8909.204,406.7866,480.70438,443.74548,481.1541
8974.491,405.79596,479.09122,442.4436,479.54245
9038.709,404.77496,477.4526,441.11377,477.91553
9102.063,403.7423,475.80692,439.7746,476.2885
9164.77,402.7106,474.1663,438.43845,474.67105
9226.862,401.68213,472.54153,437.11182,473.072
9288.354,400.66348,470.93842,435.80096,471.49585
9349.358,399.65936,469.36032,434.50983,469.945
9409.845,398.6726,467.8104,433.24152,468.42212
9469.909,397.70544,466.2905,431.998,466.92853
9529.56,396.7593,464.80197,430.78064,465.46542
9588.733,395.83493,463.34625,429.59058,464.03403
9647.503,394.93304,461.92337,428.42822,462.6344
9705.783,394.05374,460.5335,427.29364,461.2666
9763.61,393.1976,459.17502,426.1863,459.92917
9818.182,392.43668,457.75305,425.09485,458.5308
9872.5205,391.67545,456.35272,424.0141,457.1547
9926.546,390.919,454.97223,422.94562,455.7988
9980.188,390.17075,453.60986,421.89032,454.46124
10033.395,389.43237,452.26437,420.8484,453.14062
10086.123,388.70502,450.93466,419.81982,451.8356
10138.351,387.98914,449.62018,418.80466,450.54562
10190.058,387.28467,448.32007,417.80237,449.26984
10241.239,386.59155,447.03394,416.81274,448.00787
10291.896,385.90927,445.7613,415.83527,446.75925
10342.024,385.23734,444.50183,414.86957,445.52353
10391.63,384.5754,443.2552,413.91528,444.30063
10440.716,383.92297,442.0211,412.97205,443.09012
10489.291,383.27945,440.79932,412.03937,441.8919
10537.362,382.64453,439.58966,411.1171,440.70557
10584.937,382.0176,438.3918,410.2047,439.5311
10632.024,381.39825,437.20578,409.302,438.36838
10678.632,380.78622,436.03125,408.40875,437.21704
10724.772,380.18094,434.86816,407.52454,436.07703
10770.454,379.58215,433.71646,406.6493,434.94824
10815.688,378.98947,432.57593,405.7827,433.8306
10860.521,378.40167,431.4469,404.9243,432.72424
10904.954,377.8189,430.32922,404.07407,431.629
10948.988,377.2409,429.22253,403.23172,430.54468
10992.625,376.6674,428.12674,402.39706,429.47113
11035.875,376.09833,427.0418,401.57007,428.40814
11078.74,375.53357,425.96753,400.75055,427.3556
11121.231,374.9726,424.90378,399.93817,426.31348
11163.355,374.4155,423.85043,399.13297,425.2816
11205.123,373.86188,422.8075,398.3347,424.2599
11246.543,373.31174,421.77475,397.54324,423.24817
11287.622,372.76486,420.7521,396.75848,422.2465
11328.363,372.22092,419.73953,395.98022,421.25458
11368.786,371.67993,418.73694,395.20844,420.27237
11408.889,371.14172,417.74414,394.44293,419.29984
11448.684,370.60614,416.76117,393.68365,418.33688
11488.177,370.07306,415.78775,392.93042,417.38345
11527.381,369.54242,414.824,392.18323,416.43933
11566.294,369.01407,413.86966,391.44186,415.50443
11604.933,368.488,412.92484,390.70642,414.57874
11643.298,367.96405,411.98923,389.97662,413.66214
11681.397,367.44214,411.06277,389.25244,412.75458
11719.239,366.92224,410.1456,388.53394,411.8559
11756.833,366.40424,409.2374,387.8208,410.966
11794.178,365.88818,408.33813,387.11316,410.08493
11831.286,365.3739,407.44778,386.41083,409.2125
11868.159,364.86142,406.56628,385.71387,408.34863
11904.808,364.35077,405.6934,385.0221,407.4933
11941.237,363.84186,404.8292,384.3355,406.6463
11977.449,363.33444,403.97354,383.654,405.80774
12013.452,362.82886,403.12637,382.9776,404.97742
12049.252,362.32477,402.28763,382.3062,404.1552
12084.8545,361.82245,401.4572,381.63983,403.34122
12120.265,361.3216,400.63507,380.97833,402.53522
12155.484,360.82245,399.82117,380.3218,401.73724
12190.525,360.32477,399.01532,379.67004,400.94708
12225.385,359.82877,398.21747,379.02313,400.16473
12260.072,359.3343,397.42767,378.38098,399.39032
12294.59,358.84137,396.64575,377.74356,398.62347
12328.943,358.35013,395.87167,377.1109,397.8643
12363.138,357.86035,395.1054,376.48288,397.11267
12397.175,357.3723,394.34692,375.85962,396.36856
12431.062,356.88568,393.596,375.24084,395.63187
12464.799,356.40063,392.85263,374.62665,394.90256
12498.393,355.9174,392.11694,374.01715,394.1806
12531.845,355.43567,391.38858,373.4121,393.46594
12565.158,354.9557,390.66776,372.8117,392.75845
12598.341,354.47733,389.95422,372.21576,392.0581
12631.39,354.0006,389.248,371.6243,391.3649
12664.313,353.52557,388.54907,371.03732,390.67877
12697.111,353.0523,387.8574,370.45483,389.9996
12729.784,352.5808,387.1727,369.87677,389.32742
12762.343,352.11102,386.4953,369.30316,388.66208
12794.781,351.64304,385.82474,368.7339,388.0037
12827.106,351.17694,385.16144,368.1692,387.35202
12859.321,350.71262,384.50497,367.6088,386.70718
12891.426,350.25015,383.85538,367.05276,386.06903
12923.424,349.7896,383.2127,366.50116,385.43756
12955.315,349.33096,382.57693,365.95395,384.8128
