Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,206.74753,305.43893,233.59462,306.11752
296.9091,207.70088,307.34042,234.81178,308.07495
440.81818,208.66487,309.24054,236.03674,310.03177
584.7273,209.6391,311.14453,237.27042,311.99295
728.63635,210.61967,313.05014,238.50931,313.9561
872.5455,211.60274,314.955,239.74986,315.91852
1016.4545,212.58542,316.85748,240.98955,317.8787
1160.3636,213.5659,318.7569,242.22679,319.83572
1304.2727,214.54308,320.65268,243.46057,321.789
1448.1818,215.51619,322.54416,244.69022,323.7378
1592.091,216.48473,324.4305,245.91508,325.6813
1736.0,217.44826,326.31073,247.1346,327.61844
1879.909,218.40625,328.18378,248.34804,329.54813
2023.8182,219.35823,330.0485,249.55484,331.4692
2167.7273,220.30377,331.90384,250.75429,333.38058
2311.6365,221.24231,333.74875,251.94579,335.28122
2455.5454,222.17346,335.5823,253.12875,337.17004
2599.4546,223.0968,337.40353,254.3026,339.0462
2743.3635,224.01195,339.2116,255.46684,340.90872
2887.2727,224.9185,341.00565,256.62097,342.75677
3031.182,225.81618,342.78497,257.76453,344.58963
3175.0908,226.70566,344.55252,258.89883,346.41025
3319.0,227.58572,346.30377,260.0218,348.21408
3462.9092,228.4562,348.03833,261.13315,350.0006
3606.818,229.3169,349.75565,262.2326,351.7694
3750.7273,230.16751,351.45517,263.3198,353.51984
3894.6365,231.00784,353.13635,264.39444,355.2513
4038.5454,231.83765,354.7985,265.45618,356.96317
4182.4546,232.65672,356.4411,266.50467,358.65485
4326.364,233.46484,358.0635,267.5396,360.32568
4470.273,234.26181,359.66528,268.56073,361.9752
4614.1816,235.04747,361.24576,269.56775,363.60278
4758.091,235.82161,362.8046,270.56036,365.20795
4902.0,236.58408,364.3412,271.5384,366.79025
5045.909,237.33478,365.8552,272.50156,368.34918
5189.8184,238.07352,367.34613,273.44968,369.88437
5333.727,238.8002,368.8137,274.38257,371.3954
5477.636,239.51477,370.25748,275.30002,372.88187
5621.5454,240.21706,371.6772,276.20197,374.34348
5765.4546,240.90704,373.07245,277.08813,375.7799
5909.364,241.58466,374.4431,277.95853,377.19098
6053.273,242.24982,375.78897,278.81302,378.57635
6197.1816,242.90251,377.10974,279.6515,379.93585
6341.091,243.54274,378.40527,280.47397,381.26938
6485.0,244.17049,379.67548,281.28033,382.57678
6628.909,244.78574,380.92026,282.07062,383.85794
6772.8184,245.38855,382.13965,282.84482,385.11282
6916.727,245.97893,383.33347,283.6029,386.3414
7060.636,246.55693,384.50183,284.34497,387.54364
7204.5454,247.12263,385.6447,285.07108,388.71967
7348.4546,247.67609,386.76227,285.78125,389.86948
7492.364,248.21738,387.85452,286.47562,390.99323
7636.273,248.7466,388.92157,287.15424,392.091
7780.1816,249.26387,389.96362,287.81726,393.16296
7924.091,249.76929,390.9809,288.4648,394.2093
8068.0,250.26299,391.9735,289.09708,395.23032
8211.909,250.74507,392.94174,289.71414,396.22607
8355.818,251.2157,393.88583,290.31622,397.197
8499.728,251.67502,394.80606,290.9035,398.14325
8643.637,252.12318,395.70267,291.47617,399.06522
8787.546,252.56036,396.57605,292.03442,399.96317
8931.454,252.98671,397.42642,292.5785,400.83743
9075.363,253.4024,398.2542,293.10855,401.68835
9219.272,253.80759,399.05975,293.62485,402.51636
9363.182,254.20248,399.84335,294.1276,403.32178
9507.091,254.58723,400.6055,294.61707,404.105
9651.0,254.96208,401.34644,295.09348,404.8665
9794.909,255.32715,402.06665,295.55707,405.6065
9938.818,255.68266,402.76657,296.00815,406.3256
10082.728,256.02878,403.44647,296.44687,407.02414
10226.637,256.36575,404.1069,296.87354,407.70258
10370.546,256.69373,404.74823,297.28845,408.3613
10514.454,257.0129,405.37085,297.6918,409.0007
10658.363,257.3235,405.9752,298.08383,409.62137
10802.272,257.62564,406.56165,298.46484,410.22363
10946.182,257.9196,407.13077,298.8351,410.80792
11090.091,258.20547,407.68277,299.19482,411.37466
11234.0,258.48355,408.21823,299.54428,411.92435
11377.909,258.75397,408.7375,299.8837,412.45728
11521.818,259.0169,409.241,300.21338,412.97406
11665.728,259.2726,409.72913,300.5335,413.475
11809.637,259.52118,410.2023,300.84436,413.96048
11953.546,259.7628,410.66086,301.14618,414.43103
12097.454,259.99768,411.10532,301.43918,414.887
12241.363,260.22598,411.53598,301.7236,415.32877
12385.272,260.4479,411.95325,301.9997,415.7567
12529.182,260.66357,412.35745,302.26767,416.17133
12673.091,260.87317,412.74905,302.52774,416.57285
12817.0,261.07684,413.12833,302.78015,416.96173
12960.909,261.2748,413.4957,303.0251,417.33838
13104.818,261.46716,413.85144,303.26273,417.7031
13248.728,261.65405,414.19595,303.49335,418.05627
13392.637,261.83566,414.52957,303.71713,418.3982
13536.546,262.01212,414.85263,303.93427,418.72925
13680.454,262.18356,415.16537,304.14493,419.04974
13824.363,262.35016,415.46817,304.3493,419.36
13968.272,262.512,415.76135,304.54758,419.66037
14112.182,262.66922,416.04517,304.73996,419.95105
14256.091,262.82202,416.3199,304.9266,420.23248
14400.0,262.97046,416.58588,305.10764,420.50482
