Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C
153.0,219.83923,356.41843,256.72748,357.85538
296.9091,221.48048,358.6609,258.5473,360.16315
440.81818,223.14255,360.86523,260.37268,362.4325
584.7273,224.8078,363.0388,262.19235,364.6707
728.63635,226.46138,365.1801,263.9949,366.87622
872.5455,228.09283,367.28687,265.77185,369.0465
1016.4545,229.69577,369.3577,267.51813,371.1801
1160.3636,231.26689,371.39264,269.2312,373.27695
1304.2727,232.80489,373.39188,270.9102,375.33725
1448.1818,234.3095,375.35587,272.55496,377.36133
1592.091,235.78091,377.28458,274.16568,379.34924
1736.0,237.21942,379.17792,275.74252,381.3008
1879.909,238.62521,381.0354,277.28546,383.21564
2023.8182,239.99843,382.8566,278.79456,385.09314
2167.7273,241.33916,384.64096,280.26965,386.93292
2311.6365,242.64735,386.3881,281.7107,388.7344
2455.5454,243.92314,388.0976,283.11758,390.49734
2599.4546,245.16646,389.7691,284.49026,392.22125
2743.3635,246.37743,391.40244,285.8287,393.90598
2887.2727,247.55606,392.99734,287.13287,395.55136
3031.182,248.70245,394.55383,288.40286,397.1573
3175.0908,249.81894,396.08597,289.6441,398.738
3319.0,250.90344,397.57816,290.8509,400.27786
3462.9092,251.95625,399.03156,292.02383,401.77786
3606.818,252.97768,400.44672,293.16324,403.23868
3750.7273,253.96796,401.8238,294.26932,404.66043
3894.6365,254.92732,403.163,295.34235,406.0433
4038.5454,255.85602,404.46423,296.38248,407.38727
4182.4546,256.75427,405.7276,297.38983,408.6924
4326.364,257.6223,406.9531,298.3647,409.95865
4470.273,258.46048,408.14078,299.30728,411.18622
4614.1816,259.26907,409.29086,300.2178,412.37512
4758.091,260.04843,410.4035,301.09665,413.52563
4902.0,260.79892,411.47888,301.9441,414.63797
5045.909,261.52094,412.51736,302.7605,415.71243
5189.8184,262.2149,413.5192,303.5463,416.74927
5333.727,262.88123,414.4847,304.30188,417.74887
5477.636,263.5204,415.4143,305.02765,418.7116
5621.5454,264.1328,416.3084,305.72412,419.638
5765.4546,264.71906,417.16754,306.39175,420.52844
5909.364,265.2796,417.99216,307.03113,421.38345
6053.273,265.815,418.7828,307.6427,422.20367
6197.1816,266.32578,419.54004,308.22708,422.98953
6341.091,266.81247,420.26447,308.7848,423.74176
6485.0,267.27576,420.9568,309.3165,424.461
6628.909,267.71613,421.61758,309.82278,425.14786
6772.8184,268.1342,422.24768,310.30426,425.80313
6916.727,268.5306,422.84766,310.7616,426.42755
7060.636,268.90594,423.41827,311.19543,427.02176
7204.5454,269.2608,423.96036,311.6064,427.58664
7348.4546,269.59583,424.4745,311.99518,428.12286
7492.364,269.91162,424.9616,312.36243,428.63123
7636.273,270.20883,425.42242,312.7088,429.1126
7780.1816,270.48804,425.85773,313.035,429.5677
7924.091,270.74988,426.26834,313.3416,429.99738
8068.0,270.99493,426.65497,313.6294,430.40244
8211.909,271.22385,427.01846,313.89896,430.7836
8355.818,271.43716,427.3596,314.15094,431.14178
8499.728,271.63553,427.6791,314.386,431.47778
8643.637,271.8195,427.97787,314.6048,431.7923
8787.546,271.98962,428.2566,314.80792,432.08615
8931.454,272.1465,428.516,314.99606,432.36014
9075.363,272.29068,428.75693,315.1697,432.61502
9219.272,272.4227,428.98,315.3296,432.85156
9363.182,272.54303,429.18607,315.47623,433.07047
9507.091,272.65225,429.37576,315.61017,433.27252
9651.0,272.75085,429.54977,315.73203,433.45837
9794.909,272.83932,429.70886,315.84232,433.62878
9938.818,272.91812,429.85364,315.94156,433.7844
10082.728,272.98773,429.98468,316.0303,433.9258
10226.637,273.0486,430.10275,316.10904,434.05383
10370.546,273.10114,430.2084,316.17822,434.16888
10514.454,273.1458,430.30225,316.23837,434.27182
10658.363,273.18298,430.38486,316.28992,434.36304
10802.272,273.21304,430.45676,316.33328,434.44324
10946.182,273.2364,430.51855,316.36896,434.51288
11090.091,273.25345,430.57074,316.39734,434.57257
11234.0,273.26447,430.61386,316.4188,434.62283
11377.909,273.26984,430.64838,316.4337,434.66415
11521.818,273.2699,430.67474,316.44244,434.697
11665.728,273.26492,430.69345,316.44537,434.7219
11809.637,273.2553,430.705,316.4429,434.73923
11953.546,273.2412,430.70966,316.43524,434.74942
12097.454,273.223,430.70792,316.4228,434.753
12241.363,273.2009,430.70016,316.4058,434.75027
12385.272,273.1752,430.6868,316.3846,434.7416
12529.182,273.14612,430.66815,316.35944,434.72745
12673.091,273.1139,430.64456,316.33063,434.7081
12817.0,273.07874,430.61636,316.29834,434.6839
12960.909,273.04092,430.58386,316.26288,434.6552
13104.818,273.00055,430.5474,316.22446,434.62234
13248.728,272.95792,430.50717,316.18332,434.58548
13392.637,272.91312,430.46356,316.13968,434.54507
13536.546,272.8664,430.41678,316.09366,434.50128
13680.454,272.81787,430.36703,316.04553,434.45438
13824.363,272.7677,430.31467,315.99542,434.4046
13968.272,272.7161,430.25977,315.94354,434.3522
14112.182,272.66318,430.2026,315.89008,434.2974
14256.091,272.609,430.14343,315.8351,434.24045
14400.0,272.5538,430.0824,315.77884,434.18146
